idx,구분,회사명,ICP세부,신뢰도,플래그,검증,홀,부스번호,이메일,웹사이트,원본카테고리,판단근거
10,Tier A,(주)더엘그룹,스킨케어,high,,,A,A-B41,marketing.theel@gmail.com,https://theelstore.com/,"Skin Care, Derma Cosmetics, Inner Beauty",자체 스킨케어 MARYABEL·홈디바이스 Skinfit Pro·이너뷰티 등 소비자 브랜드 다수 운영(theelstore 몰).
39,Tier A,(주)씨케이리제온,헤어,high,,,A,A-B48,dermaregeon@ckregeon.com,https://dermaregeon.com/en/,"Derma Cosmetics, Hair Care Products, Scalp Care Products","자체 헤어케어 브랜드 HAIRREGEON·HERIBON 운영, 탈모·두피 케어 완제품 소비자 대상."
251,Tier A,CETERA,더마,high,,,A,A-C08,ceterakorea@naver.com,https://www.wechat.com/cetera1,"Skin Care, Make up and Color Cosmetics, Cosmeceutical Products, Derma Cosmetics, Facial Masks, Cleansing Products",엑소좀·PDRN·병풀 기반 메디컬 코스메슈티컬 자사 브랜드로 토너·앰플·크림·쿠션 등 소비자 홈케어 제품군 보유.
31,Tier A,(주)섬섬바이오,스킨케어,high,export,,A,A-C14,sumsum2022@naver.com,https://searce.shop/,Skin Care,"자체 라이프 뷰티 브랜드 SEARCE 운영, 머쉬룸 EM 샴푸 등 대표 완제품 소비자 판매."
48,Tier A,(주)알에이치앤비브랜즈,스킨케어,high,,,A,A-C21,info@rhnb.co.kr,https://www.ratedgreenglobal.com/prettyactually,"Skin Care, Cleansing Products","레이티드 그린·프리티 액츄얼리 두 클린 K-뷰티 소비자 브랜드 운영, 비건인증 스킨케어 판매."
366,Tier A,브에노메디텍,더마,high,export,,A,A-C23,ds2oph@naver.com,https://www.bueno9.com/,"Skin Care, Body Care, Derma Cosmetics, Cleansing Products","엑소좀·펩타이드·PDRN 등 기능성 스킨/바디/더마 자체 브랜드(Bueno) 운영, 글로벌 소비자 대상 판매."
277,Tier A,쥬네뷰,스킨케어,high,,,A,A-C27,dewdap@naver.com,https://www.dewdap.com/,"Skin Care, Brands/Manufacturer(Skin Care)","DEWDAP은 자체 성분 Cicatea 함유, 사내 연구·자사 공장 제조하는 비건 K-뷰티 스킨케어 소비자 브랜드."
19,Tier A,컬러딥,메이크업,high,,,A,A-C31,min@miskos.co.kr,https://miskos.co.kr/,"Skin Care, Make up and Color Cosmetics, Body Care, Facial Masks","Color Deep·Moodmatcher 등 자체 색조 브랜드 기획·런칭, 국내외 소비자 채널 판매(연매출 1천억)."
24,Tier A,주식회사 반다비앤에이치,스킨케어,high,export,,A,A-C32,vandabnh@vanda.co.kr,https://kiwiglow.co.kr/,"Skin Care, Natural & Organic Cosmetics, Facial Masks, Cleansing Products, Others, Hair Care Products","비건 클린 스킨케어 자체 브랜드 KIWIGLOW(2022 런칭) 운영, 온·오프라인 소비자 판매."
239,Tier A,주식회사 정림에프앤에이치,바디,high,indie,,A,A-C41,4674sjh@naver.com,https://www.vanava.co.kr/,"Skin Care, Body Care, Derma Cosmetics",2025년 런칭한 바디케어 자체 브랜드 Vanava(Duo Cream)로 소비자 대상 신생 브랜드.
229,Tier A,주식회사 웰컴이엔앰,메이크업,high,export,,A,A-C43,dandymicn@welcomems.co.kr,https://welcomesgroup.com,"Skin Care, Make up and Color Cosmetics, Facial Masks, Cleansing Products",셀럽·인플루언서·자체 브랜드 포트폴리오를 직접 운영하는 글로벌 브랜드 컴퍼니로 소비자 대상.
464,Tier A,닥터바이오 & 티블레스,스킨케어,high,export,,A,A-C46,global_sales@rokcorp.co.kr,https://litt.ly/corporationrok_global_sales?ref=qr.litt.ly,"Skin Care, Body Care, Derma Cosmetics, Natural & Organic Cosmetics, Perfumery, Cleansing Products, Hair Care Products",로크가 자체 브랜드 닥터바이오·티블레스를 론칭한 비건 스킨케어 소비자 브랜드.
336,Tier A,Y.N.M,메이크업,high,export,,A,A-C48,ynm@ynmcosmetic.co.kr,https://ynmcosmetic.co.kr/,"Skin Care, Make up and Color Cosmetics","올리브영 립케어 1위 자체 브랜드 Y.N.M, 20개국 1만 매장 소비자 판매."
496,Tier A,헤트라스,향수,high,export,,A,A-D01,globalsales@hetras.co.kr,https://youtu.be/qRuMsXV8pSw,"Skin Care, Body Care, Natural & Organic Cosmetics, Perfumery",한국 1위 디퓨저·프래그런스 자사 브랜드 hetras를 30개국에 소비자 판매하는 향 브랜드.
376,Tier A,세이션,스킨케어,high,export,,A,A-D16,overseas@xation.co.kr,https://xation.co.kr/,"Skin Care, Body Care, Facial Masks, Hair Care Products","STANDARD SEOUL 등 더마 스킨케어 자체 K-뷰티 브랜드 개발·수출, 소비자 대상 기능성 제품 명확."
27,Tier A,(주)비앤케이,스킨케어,high,export,,A,A-D42,contact@koreahnb.com,https://tambeauty.me/,,"자체 소비자 브랜드 3개(BARULAB, tam BEAUTY, PYDERIN) 운영, 메가 인플루언서 협업 이력."
276,Tier A,줄라이 모닝,바디/헤어,high,,,A,A-D46,clubparty1003@gmail.com,https://july-morning.co.kr/,"Skin Care, Body Care, Brands/Manufacturer(Skin Care), Brands/Manufacturer(Hair Care), Brands/Manufacturer(Bath & Body Care), Hair Care Products, Scalp Care Products",줄라이모닝(바디·헤어)·고백타임(스킨케어 앰플 8종) 자사 소비자 브랜드 전개하는 K-뷰티 브랜드.
316,Tier A,센티카,향수,high,,,A,A-D47,scentica@raint.kr,https://scentica.co.kr/,"Body Care, Perfumery, Hair Care Products",자체 조향 연구소 기반 독자 향료로 분기별 향수·바디·헤어 소비자 제품을 기획·출시하는 향 브랜드.
400,Tier A,EBIN KOREA,스킨케어/바디,high,export,,A,A-E11,ebinkorea@ebinnewyork.com,https://linktr.ee/ebinkorea,"Skin Care, Body Care, Laser/IPL/RF/Multi, Home Aesthetic Device",Cosyuree·Gorilla Waxing·INJECTIER 등 자사 소비자 K-뷰티 브랜드를 보유한 완제품 기업.
79,Tier A,(주)탠코리아,바디,high,,,A,A-E23,jamiebronzekr@gmail.com,http://jamiebronze.com,Others,"태닝 자체 소비자 브랜드 JAMIE BRONZE 운영, 국내외 시장 판매 중인 대표 태닝 브랜드."
361,Tier A,디어메이,메이크업,high,,,A,A-E27,oversea@beleco.co.kr,https://en.dearmay.co.kr/,"Make up and Color Cosmetics, Natural & Organic Cosmetics",DEARMAY는 소녀 타겟 트렌디 감성 메이크업 자체 소비자 브랜드로 명확함.
23,Tier A,(주)바이옵트,더마,high,device|export,,A,A-E28,info@venderma.com,https://venderma.com/,"Skin Care, Contract Manufacturing(OEM/ODM), Home Aesthetic Device","자체 더마 스킨케어 브랜드 VENDERMA 보유, 홈케어 뷰티 디바이스 결합한 소비자 브랜드 운영."
298,Tier A,TROIAREUKE,더마,high,,,A,A-E31,stella@sislab.com,https://www.troiareuke.com/,"Skin Care, Body Care, Cosmeceutical Products, Derma Cosmetics, Facial Masks, Cleansing Products","맞춤형 스킨케어 소비자 브랜드 TROIAREUKE 운영, 진단·홈케어 D2C 성격."
417,Tier A,오미티드,스킨케어,high,export,,A,A-E32,admin@omitted.kr,https://omitted.kr,"Skin Care, Facial Masks, Cleansing Products",비타-C·PDRN 앰플 등 20여개국 수출하는 자사 임상 스킨케어 브랜드 오미티드.
216,Tier A,DAILY WEEKLY,스킨케어,high,,,A,A-E36,trading@dailyweekly.co.kr,https://www.dailyweekly.co.kr/,"Skin Care, Facial Masks, Brands/Manufacturer(Skin Care)",DAILY WEEKLY 자체 스킨케어 브랜드로 신라·경복궁 면세점 및 파마스퀘어 입점 소비자 판매.
46,Tier A,(주)아트페이스,메이크업/스킨케어,high,export,,A,A-E46,artface@artfacekorea.com,https://tenzero.co.kr/,"Skin Care, Make up and Color Cosmetics, Body Care, Derma Cosmetics, Facial Masks, Cleansing Products, Hair Care Products, Scalp Care Products","색조 브랜드 물다·스킨케어 텐제로 자체 런칭, 명동 텐제로 플래그십 운영하는 소비자 브랜드 보유."
319,Tier A,KOCOSTAR,스킨케어,high,,,A,A-F01,export@kocostar.com,https://firstmarket.co.kr/,"Skin Care, Facial Masks, Contract Manufacturing(OEM/ODM)",K-뷰티 마스크 중심 자체 소비자 브랜드로 셀프케어 마스크·스킨케어 제품군을 직접 전개.
284,Tier A,채널스완,스킨케어,high,,,A,A-F21,kbeauty@oavo.kr,https://www.oavo.global,"Skin Care, Make up and Color Cosmetics, Skin/Body Diagnosis Equipment","독립 K-Heritage 브랜드 OAVO 운영, 홍대 오프라인 매장·신규 SKU 등 소비자 브랜드 명확."
411,Tier A,CELLEA/BELLADIA,스킨케어,high,export,,A,A-F22,fcsecond@fcsecond.kr,https://cellea.co.kr/,"Skin Care, Body Care, Facial Masks, Men’s Care, Contract Manufacturing(OEM/ODM)",NK세포배양액 셀레아·안티에이징 벨라디아 등 자사 프리미엄 스킨케어 브랜드 보유.
324,Tier A,포뉴레브,향수,high,,,A,A-F43,info@fonewlev.com,https://fonewlev.com/,"Body Care, Perfumery",디퓨저·퍼퓸 핸드크림·바디 등 소비자 프래그런스 자체 브랜드 운영.
442,Tier A,제이크리컴퍼니,더마,medium,indie,,A,A-G11,jcre@jcrecompany.com,https://linktr.ee/lefilleo?utm_source=linktree_profile_share&ltsid=4f7a3ca8-e2f2-41e8-8220-b04973100003,"Skin Care, Body Care, Cosmeceutical Products, Derma Cosmetics, Cleansing Products, Contract Manufacturing(OEM/ODM)","lefilleo 자체 더마 스킨케어 브랜드 운영, 검증성분·전문가 협업 강조한 소비자 브랜드."
423,Tier A,웰본,헤어,high,,,A,A-G23,export@welcomesgroup.com,https://cheongdamstyle.co.kr/,,청담스타일 브랜드를 런칭·운영하며 헤어 고데기·염색샴푸 등 자사 소비자 완제품을 홈쇼핑·온오프라인 판매.
383,Tier A,"SHINAN COSMETICS Co., Ltd.",스킨케어,medium,,,A,A-G31,,https://www.shionle.com/,"Skin Care, Facial Masks, Cleansing Products",shionle 브랜드로 토너·세럼·크림·마스크 등 다양한 스킨케어 소비자 완제품 라인을 보유.
236,Tier A,주식회사 일레븐코퍼레이션,헤어,high,,,A,A-H03,b2b@11corp.co.kr,https://www.11corp.co.kr/,Others,해양요법 기반 헤어·바디 자체 브랜드 GROWUS를 소비자 대상으로 전개.
449,Tier A,주식회사 더마라인,더마,high,oem_with_brand,Y,A,A-H11,leejy@dermaline.co.kr,https://en.dermaline.co.kr,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Cleansing Products, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Thread Lifts and Fillers","DERMALINE·D'LEXO·r;eden 3개 자체 브랜드 운영, PDRN 라인이 올리브영·코스트코·왓슨스 입점한 소비자 브랜드."
424,Tier A,로그인 포레스트 (유나뷰티랩),향수,high,,,A,A-H16,info@loginforest.com,http://www.loginforest.com,,"Login Forest 자체 센티드 바디케어·퍼퓸 소비자 브랜드를 보유, 시즌별 신제품 출시하는 D2C 향 브랜드."
337,Tier A,디유코스메틱,메이크업,high,export,,A,A-I01,uj854@naver.com,http://www.ducos.co.kr,"Skin Care, Make up and Color Cosmetics, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Make up)","스파우트 색조화장품 자체 브랜드 JOA(립틴트 등) 다이소·드럭스토어 소비자 유통, OEM도 병행."
278,Tier A,지구의 온도 G9ONDO,바디/향수,high,,,A,A-I08,tomato2526@nate.com,https://g9ondo.com/,"Body Care, Perfumery, Inner Beauty, Brands/Manufacturer(Bath & Body Care)",비건 프리미엄 바디(배스밤)·향기 자사 소비자 브랜드로 면세점·백화점·호텔 납품 등 리테일 전개.
84,Tier A,(주)한국쉬즈라인,스킨케어/바디,medium,export,,A,A-I21,info@koreashesline.co.kr,https://toolif.co.kr,Cosmeceutical Products,"1989년 설립 뷰티 전문기업, toolif 자체 브랜드로 다양한 화장품 개발·국내외 유통."
396,Tier A,아이프로덕트,향수,high,export|oem_with_brand,Y,A,A-J06,global@iproduct.co.kr,https://drpercent.co.kr/,"Skin Care, Natural & Organic Cosmetics, Contract Manufacturing(OEM/ODM)",OEM이나 desc에 남성향수·그루밍·클린뷰티·바디케어 자체 브랜드를 운영하고 direct sales(D2C)·해외수출한다고 명시.
74,Tier A,(주)코비스타,헤어,high,,,A,A-J16,kbeauty@kobizstar.com,https://www.solepkorea.com/,"Hair Care Products, Scalp Care Products","두피케어 자체 브랜드 Solep을 B2C 리테일로 운영(Hi-gro 등 일상케어), 소비자 판매 명확."
350,Tier A,LINDSAY&COS Inc.,스킨케어,high,oem_with_brand,Y,A,A-J21,sales@lindsay.co.kr,https://lindsaycos.com,"Skin Care, Facial Masks, Contract Manufacturing(OEM/ODM)","에스테틱·홈에스테틱 자체 브랜드 린제이로 마스크팩·스킨케어를 직접 생산·판매(자체몰 lindsaycos.com), OEM 병행."
492,Tier A,주식회사 스타힐스코스메틱,헤어,high,,,A,A-J22,hmcos@naver.com,https://moo100.com/,"Hair Care Products, Scalp Care Products, Hair Styling Products","자사 헤어케어 브랜드 무백(MOO100)을 2,000개 살롱·디지털콘텐츠로 운영하는 소비자 브랜드."
248,Tier A,MAKE SOUL,메이크업,high,,,A,A-J31,jslee@make-soul.co.kr,https://make-soul.co.kr/,Make up and Color Cosmetics,서울 기반 K-뷰티 메이크업 자사 브랜드로 남산480 글로우틴트 등 시그니처 컬러 제품을 소비자에게 직접 판매.
444,Tier A,휴션,더마,high,,,A,A-K11,,https://www.huceane.com,"Skin Care, Derma Cosmetics, Men’s Care, Cleansing Products, Brands/Manufacturer(Skin Care)","REDhealon 프리미엄 여드름 케어 자체 스킨케어 브랜드 운영, 3단계 루틴 소비자 제품."
491,Tier A,SKINISGOOD,더마,high,,,A,A-K26,yklee@skinisgood.com,https://www.lissederm.co.kr,"Skin Care, Make up and Color Cosmetics, Body Care, Derma Cosmetics, Facial Masks, Men’s Care, Cleansing Products",자사 더마 뷰티 브랜드 리쎄덤(Lissederm)을 소비자 대상으로 전개하는 스킨케어 브랜드.
379,Tier A,솔테라피,바디,high,export,Y,A,A-K27,info@saltherapy.biz,https://saltherapy.us,"Skin Care, Body Care, Natural & Organic Cosmetics, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Brands/Manufacturer(Bath & Body Care)","천일염 기반 프리미엄 바디케어 자체 브랜드(Saltherapy), 솔트 스파 스크럽 소비자 라인 보유(.us 수출 지향)."
208,Tier A,어룸,스킨케어,high,,,A,A-L02,semin@anomalylabs.biz,https://aroomskin.com/,Skin Care,AROOM 자체 스킨케어 브랜드로 아이패치·배리어크림 등 소비자 제품 개발·판매.
454,Tier A,ANOETIC BEAUTY,스킨케어,high,,,A,A-L03,leokim@anoetic.kr,https://anoeticbeauty.com,"Skin Care, Make up and Color Cosmetics, Facial Masks","아노에틱 뷰티 자체 브랜드로 헤어세럼·마스크팩 등 출시, 인플루언서 협업·바이럴 적극 활용."
318,Tier A,(주) 유나이티드앤글로벌,스킨케어,high,oem_with_brand,Y,A,A-L07,ohave@unitednglobal.com,https://ohavecosmetic.com/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Natural & Organic Cosmetics, Facial Masks, Men’s Care, Cleansing Products, Contract Manufacturing(OEM/ODM), Contract Manufacturing(Packing,Containers,etc.), Brands/Manufacturer(Skin Care), Brands/Manufacturer(Hair Care), Brands/Manufacturer(Medical & Beauty Equipment), Brands/Manufacturer (Tools/Accessories), Thread Lifts and Fillers, Laser/IPL/RF/Multi, Skin/Body Diagnosis Equipment, Home Aesthetic Device, Others","오하브(OHAVE) 비건 자사 스킨케어 브랜드(클렌저·선케어·마스크 등) 보유하고 자사몰 운영, PL·OEM/ODM은 부가 서비스로 명확히 소비자 브랜드 보유."
347,Tier A,(주)리쎄코리아,스킨케어,high,oem_with_brand,Y,A,A-L13,lisse@lisse.co.kr,https://www.dumidang.com,"Skin Care, Body Care, Derma Cosmetics, Contract Manufacturing(OEM/ODM)","비건 DUMIDANG·더마 MEDIODERM·공주아·설온기 등 200여 SKU 자체 소비자 브랜드 보유(자체몰 dumidang.com), OEM/ODM은 병행."
511,Tier A,헤아림코스메틱,스킨케어,high,export,Y,A,A-L18,hearim@hearimcosmetic.com,http://www.wechat.com/jgh_1125,"Skin Care, Derma Cosmetics, Facial Masks",HE:ARIM 자체 스킨케어 브랜드로 면세·백화점·온라인몰·소셜커머스 등 소비자 채널을 직접 운영하며 국내 판매 거점이 명확함.(검증변경)
13,Tier A,뷰가닉,헤어,high,,,A,A-N01,james@dongbangbnh.co,http://www.dongbangbnh.com,"Brands/Manufacturer(Hair Care), Hair Care Products",제로플라스틱 샴푸바 자체 브랜드 뷰가닉 보유·생산(OEM 병행하나 자사 소비자 브랜드 명확).
264,Tier A,"TWOK INTERNATIONAL Co.,Ltd.",네일,high,indie,,A,A-N03,info@twokinter.com,https://www.gelyours.com/,"Nail Polish/Gel Nail Polish, Nail Parts, Nail Accessories, Nail Tools/Equipment, Others",셀프 네일 뷰티 자체 R&D·제조 보유한 K-뷰티테크 스타트업으로 gelyours 자사 네일 소비자 브랜드 전개.
412,Tier A,LK company,바디,high,indie,,A,A-N07,rutiin7@naver.com,https://rutiin7.com/?NaPm=ct%3Dmpf5bbkh%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3Da027671d195febc9adc2bc228de1b93135,"Body Care, Others",콜라겐 머드팩·롤온 등 자사 라이프케어 브랜드(rutiin7)로 D2C 판매하는 소비자 브랜드.
429,Tier A,유앤미코스매틱,스킨케어,high,export,,A,A-O03,cellio2023@naver.com,https://www.cellio.net/52,"Skin Care, Make up and Color Cosmetics","Dr.Cellio·Cellio·Giinsu 자체 브랜드 보유, 스킨케어·메이크업 완제품을 20개국 이상 수출하는 소비자 브랜드."
266,Tier A,채운,스킨케어,high,,,A,A-O13,official@chaewun.com,https://www.chaewun.com/,"Skin Care, Facial Masks",콜라겐·PDRN 함유 푸딩 미스트 앰플 등 임상검증 자사 스킨케어 완제품을 소비자에게 판매하는 브랜드.
267,Tier A,파인월드 / 라비엘,스킨케어,high,,,A,A-O16,sales@raviel.co.kr,https://raviel.co.kr/,Skin Care,"라비엘(RAVIEL)은 흡수구조 연구한 기능성 스킨케어 자사 소비자 브랜드, 아세로라 라인 인체적용시험 완료."
455,Tier A,주식회사 두봄,스킨케어,high,device,,A,A-O17,doobom7727@naver.com,https://www.wechat.com/wxid_o2dpd2ha982p22,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Brands/Manufacturer(Skin Care), Home Aesthetic Device, Others",두봄 자체 K-에스테틱 스킨케어 브랜드로 크림·앰플 및 홈 뷰티 디바이스까지 소비자 제품 전개.
71,Tier A,(주)참존엔씨원,스킨케어,high,export,,A,A-O19,superbjhj@gmail.com,https://labonita-global-en.imweb.me/?redirect=no,"Skin Care, Facial Masks, Men’s Care, Cleansing Products","스킨케어 자체 브랜드 4개(LABONITA 등) 80여 SKU 운영, 국내 온라인 판매·해외 수출 병행."
75,Tier A,(주)코스모어플러스,스킨케어,high,,,A,A-O23,cosmoreplus@cosmoreplus.com,https://revcell.co.kr,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Facial Masks, Cleansing Products, Home Aesthetic Device","프리미엄 스킨케어 자체 브랜드 리브이셀 운영, 유튜브·틱톡 인플루언서 협찬 등 이미 활용 중."
459,Tier A,주식회사 라콤 (CELL29),더마,high,device|export,,A,A-O27,lacom_official@naver.com,https://cell29.com/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Others, Home Aesthetic Device",CELL29 피부장벽 강화 홈케어 자체 브랜드로 약국·해외 13개국 유통하는 소비자 브랜드.
446,Tier A,주식회사 넥슨화장품,스킨케어,high,export,,A,A-O28,gsales@leeblese.com,http://nexxencosmetic.com,"Skin Care, Body Care, Facial Masks, Contract Manufacturing(OEM/ODM)","대표 브랜드 DABO로 K-뷰티 스킨케어·기능성 화장품 전개, 다국가 판매하는 소비자 브랜드."
456,Tier A,주식회사 드림코스,스킨케어,high,oem_with_brand,Y,A,A-O31,cp@dreamcos.co.kr,https://camihouse.co.kr/,Others,SALMONLAB·RUDIA·LOVELYCC·DUFT&DOFT 등 스킨케어/메이크업/헤어/바디 다수 자체 소비자 브랜드 보유(OEM/ODM 겸업).
436,Tier A,자민경,스킨케어,high,export,,A,A-O38,youjinsuk1@jaminkyung.com,https://jaminkyung.com/,"Skin Care, Body Care, Cosmeceutical Products, Derma Cosmetics, Cleansing Products, Brands/Manufacturer(Skin Care), Hair Care Products, Scalp Care Products, Others",JAMINKYUNG 자체 K뷰티 브랜드로 달팽이크림 1800만개 판매 등 70여종 스킨케어 완제품을 소비자에 판매.
325,Tier A,파믹,스킨케어,high,,,A,A-P11,snr@acefarminc.com,https://www.farmic.co.kr/,"Skin Care, Natural & Organic Cosmetics","자체 농장 기반 Farm to Face 비건 스킨케어 브랜드 파믹, 애플타치온 라인 소비자 판매."
293,Tier A,"From:Cella / DASHU / Daleaf (ChromaX Co., Ltd)",헤어,high,,,A,A-P12,dashu.jungjoo@gmail.com,https://chromax.co.kr/en/,"Skin Care, Men’s Care, Hair Care Products, Scalp Care Products, Hair Styling Products",DASHU·Daleaf·Ohype·From:Cella 등 프리미엄 자사 소비자 브랜드 포트폴리오 보유.
485,Tier A,주식회사 사계절,이너뷰티,high,,,A,A-P17,,,"Skin Care, Inner Beauty",일양약품 소녀콜라겐(마시는·바르는 콜라겐) 이너&아우터 뷰티 소비자 브랜드를 전개.
447,Tier A,다빈홀딩스,바디,high,export,,A,A-R06,vector@davinnature.com,https://davinnature.com/,"Skin Care, Body Care, Natural & Organic Cosmetics",KIDDUMS(베이비 스킨케어)·HENESS(수영 후 케어) 자체 소비자 브랜드 2종 보유.
386,Tier A,심플레,스킨케어,high,export,,A,A-R07,ina@liebemi.com,https://www.simpleteglobal.com,"Skin Care, Cosmeceutical Products, Derma Cosmetics",Simpleté 브랜드 Odette 라인·밀크필 토너 등 소비자 홈케어 스킨케어 완제품을 판매(일본·대만 시장).
341,Tier A,레보아미,스킨케어,medium,,,A,A-R08,sun2268@naver.com,https://youtu.be/A4i4Dnwy00c?si=6fGMH5PcQEhqVEEb,"Skin Care, Make up and Color Cosmetics, Body Care, Natural & Organic Cosmetics",천연성분 앰플 등 미백·주름개선 기능성 자체 스킨케어 완제품을 소비자 대상으로 보유.
65,Tier A,(주)제이코모,스킨케어,high,,,A,A-R09,benetus@jcomo.co.kr,https://www.benetus.co.kr/,"Skin Care, Cleansing Products","스킨케어 브랜드 '베네투스' 운영, 자사몰·스마트스토어·쿠팡 등 D2C 소비자 판매 명확."
268,Tier A,주식회사 퍼플링크,바디,high,,,A,A-R12,eth@purplelink.kr,http://not4u.kr,"Skin Care, Body Care, Derma Cosmetics, Men’s Care, Cleansing Products",NOT4U라는 전문 바디케어 자사 소비자 브랜드를 기획·제조·판매하는 기업.
507,Tier A,핑키코스메틱,스킨케어,high,,,A,A-R17,pinky@pinkycosmetic.kr,https://www.pinkycosmetic.kr/,"Skin Care, Make up and Color Cosmetics, Body Care, Facial Masks, Cleansing Products, Hair Care Products, Hair Styling Products, Nail Polish/Gel Nail Polish",키즈 전문 화장품 자체 브랜드로 자연유래 스킨·바디케어 및 키즈 코스메틱 소비자 완제품 개발·판매.
