company,instagram,status,source,note
(주)알에이치앤비브랜즈,pretty_actually,found,https://www.instagram.com/pretty_actually/,Pretty Actually 브랜드 공식 IG @pretty_actually 확인(검색결과 제목 '𝑷𝑹𝑬𝑻𝑻𝒀 𝑨𝑪𝑻𝑼𝑨𝑳𝑳𝒀 (프리티액츄얼리)'). 운영사 레이티드그린의 @rated_green은 별도 모브랜드 계정.
브에노메디텍,bueno.official,found,https://www.bueno9.com/,공식 웹사이트 bueno9.com 하단 SNS 링크에서 instagram.com/bueno.official 직접 확인.
쥬네뷰,dewdap.official,found,https://www.dewdap.com/,공식 웹사이트 dewdap.com에서 @dewdap.official 핸들 반복 확인.
컬러딥,colordeep_korea,found,https://colordeep-lab.com/,브랜드 공식 사이트 colordeep-lab.com 푸터 SNS 섹션에서 instagram.com/colordeep_korea 직접 확인.
주식회사 반다비앤에이치,kiwiglow.official,found,https://kiwiglow.co.kr/ — 사이트 내 'JOIN US ON SOCIAL' 섹션에 @kiwiglow.official 명시,공식 사이트에서 직접 확인
주식회사 정림에프앤에이치,vanava_cosmetics,found,https://www.vanava.co.kr/ — CONTACT US 섹션에 '인스타그램 - vanava_cosmetics' 명시,"운영사 계정 vmcompany.official도 존재하나, 브랜드 소비자 계정은 vanava_cosmetics로 사이트에서 명시"
주식회사 웰컴이엔앰,,notfound,"https://welcomesgroup.com/ — 푸터에 instagram.com 일반 링크만 존재, 브랜드 핸들 없음","YouTube @welcomemsgroup 확인됨. 웹사이트에 인스타그램 핸들 미기재, 검색으로도 공식 계정 미확인"
닥터바이오 & 티블레스,dr.bio_official,found,https://www.instagram.com/dr.bio_official/ — 검색결과 '닥터바이오 공식계정' 타이틀로 노출; 공식 온라인몰 en.doctorbio.kr 연동 확인,닥터바이오 공식 계정은 dr.bio_official. 티블레스(TEABLESS)는 별도 브랜드로 teabless_official이 공식 계정(teabless.co.kr 및 검색결과 '티블레스 공식 계정'으로 확인). 두 브랜드가 하나의 company로 입력되어 닥터바이오 핸들만 기재; 티블레스 핸들: teabless_official
Y.N.M,ynmbeauty_official,found,https://ynmcosmetic.co.kr/ — 사이트 푸터 및 소셜미디어 섹션에 instagram.com/ynmbeauty_official 다수 기재,공식 사이트에서 직접 확인
헤트라스,hetras.official,found,"https://www.instagram.com/hetras.official/ — 검색결과 '헤트라스 hetras. (@hetras.official)' 타이틀로 노출; 67K 팔로워, JP/US 서브계정 존재로 본계정 확인","hetras_official(dot 없음)도 검색되나, 본계정은 hetras.official. Facebook도 hetrasofficial로 연동"
세이션,,notfound,https://xation.co.kr/ — 사이트에 인스타그램 링크 없음; 검색으로도 세이션/XATION 사명 계정 미확인,"세이션이 운영하는 브랜드 계정(grafen_official 32K, jul7me 등)은 존재하나, '세이션' 또는 'XATION' 명의 공식 기업 인스타그램은 확인 불가"
(주)비앤케이,tambeautyme,found,https://tambeauty.me/ — 사이트 푸터 및 소셜미디어 섹션에 instagram.com/tambeautyme 다수 기재,공식 사이트에서 직접 확인
줄라이 모닝,wearejulymorning,found,"https://www.instagram.com/wearejulymorning/ — 검색 결과에서 july-morning.co.kr과 함께 노출, Facebook·YouTube도 동일 핸들 사용",@julymorning2021은 별도 계정(음악 관련 추정)으로 구분됨. @wearejulymorning이 브랜드 공식 핸들로 판단.
센티카,scentica_official,found,https://scentica.co.kr/ — 공식 웹사이트 footer 소셜 섹션에 직접 링크 확인,"공식 웹사이트에서 직접 추출, 신뢰도 최상."
EBIN KOREA,ebinkorea,found,"https://www.instagram.com/ebinkorea/ — 웹검색 상위 결과, 브랜드명과 완전 일치하는 계정",linktr.ee/ebinkorea 접근 불가(403). 검색 결과에서 에빈코리아 공식 계정으로 명확히 식별됨.
(주)탠코리아,jamie_bronze,found,https://www.instagram.com/p/C4cnqJurbZC/ — '탠코리아 @jamie_bronze ♥2024 코스모뷰티서울 참가사' 인스타그램 게시물에서 직접 언급,jamiebronze.com 도메인과 @jamie_bronze 계정이 검색 전반에서 일관되게 연결됨.
디어메이,dearmay.official,found,"https://www.instagram.com/dearmay.official/ — 검색 상위, Linktree(linktr.ee/dearmay.official)·TikTok·Facebook·YouTube 모두 동일 핸들 확인",공식 웹사이트(en.dearmay.co.kr)에 IG 직접 링크는 없었으나 크로스 채널 일관성으로 공식 확인.
(주)바이옵트,venderma_official,found,https://venderma.com/ — 공식 웹사이트 '인스타 바로가기' 링크에서 직접 확인 (URL: instagram.com/venderma_official),"공식 웹사이트에서 직접 추출, 신뢰도 최상."
TROIAREUKE,troiareuke_global,found,https://www.troiareuke.com/ — 공식 웹사이트 footer에서 직접 확인,글로벌 계정(@troiareuke_global)이 공식 웹사이트에 등록됨. TikTok도 동일 브랜드명 사용.
오미티드,omittedofficial,found,https://omitted.kr — 공식 웹사이트 footer Instagram 아이콘 링크(instagram.com/omittedofficial)에서 직접 확인,"공식 웹사이트에서 직접 추출, 신뢰도 최상."
DAILY WEEKLY,dailyweekly.official,found,https://www.dailyweekly.co.kr/ (공식 웹사이트 푸터 및 본문에 반복 링크),공식 웹사이트에 @dailyweekly.official로 다수 언급·링크됨
(주)아트페이스,tenzero_official,found,"https://www.instagram.com/tenzero_official/ (웹검색 결과, tenzero.co.kr 브랜드 공식 계정 확인)",아트페이스 운영 브랜드 TENZERO의 소비자 공식 계정. 글로벌 계정(tenzero_global)도 존재하나 국내 브랜드 계정 우선
KOCOSTAR,kocostar,found,https://kocostar.com/ (공식 웹사이트 헤더·푸터에 instagram.com/kocostar 링크 반복 확인),공식 웹사이트에서 직접 링크된 계정
채널스완,oavo.global,found,"https://www.instagram.com/oavo.global/ (웹검색 결과, oavo.global 공식 K-뷰티 브랜드 계정)",채널스완의 뷰티 브랜드 OAVO 공식 계정. 채널스완 운영사 계정(@channelswan.official)도 존재하나 질문 웹사이트가 oavo.global이므로 OAVO 브랜드 계정 채택
CELLEA/BELLADIA,,uncertain,"https://cellea.co.kr/ (웹사이트 접근 시 인스타그램 링크가 일반 도메인만 노출, 핸들 미확인)",공식 웹사이트에 instagram.com 링크는 있으나 핸들이 표시되지 않음. 웹검색에서도 CELLEA/BELLADIA 공식 IG 핸들 확인 불가
포뉴레브,fonewlev.official,found,https://fonewlev.com/ (공식 웹사이트 인스타그램 섹션 및 웹검색 https://www.instagram.com/fonewlev.official/ 재확인),공식 웹사이트와 검색 모두 fonewlev.official 확인. @fonewlev 계정도 존재하나 웹사이트 링크 기준 fonewlev.official 채택
제이크리컴퍼니,lefilleo.official,found,"https://www.instagram.com/lefilleo.official/ (웹검색 결과, 제이크리컴퍼니 운영 브랜드 레필레오 공식 계정)",제이크리컴퍼니(J.CRI Company) 공식 브랜드 레필레오(Lefilleo)의 국내 공식 계정. 운영사 웹사이트(lefilleo.com)에서도 확인됨. 글로벌 계정(lefilleo.global)도 존재
웰본,cheongdamstyleshop_official,found,https://cheongdamstyle.co.kr/ (공식 웹사이트 푸터 인스타그램 섹션에 링크 확인),웰본 운영 헤어 브랜드 청담스타일의 공식 계정. 웹페이지 fetch 결과 (주)웰본 운영 계정으로 재확인됨
"SHINAN COSMETICS Co., Ltd.",shionle,found,https://www.shionle.com/,"공식 웹사이트 푸터 SNS 섹션에 @shionle로 명시, instagram.com/shionle/ 링크 확인"
주식회사 일레븐코퍼레이션,,uncertain,https://11corp.co.kr/brand,"법인(@11corp.co.kr, 팔로워 19명)은 존재하나 소비자 브랜드 계정이 5개(PARNELL @parnell.official, GROWUS @growus.kr, a ddct @addctfragrances, LUMMIR @lummir_makeup, La dens @ladens.kr)로 분리 운영됨. '일레븐코퍼레이션' 단일 브랜드 IG 없음 — 어느 브랜드가 대상인지 특정 불가"
주식회사 더마라인,dermaline_korea,found,https://en.dermaline.co.kr,공식 웹사이트 푸터 소셜 미디어 섹션에 @dermaline_korea로 명시
로그인 포레스트 (유나뷰티랩),loginforest_official,found,https://www.instagram.com/loginforest_official/,"검색 결과에서 'LOGiN FOREST 로그인 포레스트 (@loginforest_official)' 공식 계정 확인. 팔로워 3,387명, 브랜드 콘텐츠 운영 중"
디유코스메틱,,uncertain,http://www.ducos.co.kr,공식 웹사이트에서 @JOA_Official 언급되나 해당 핸들 계정이 실제로 디유코스메틱 브랜드 계정임을 독립적으로 확인 불가. 동명 타계정 충돌 가능성 있어 확정 보류
지구의 온도 G9ONDO,g9ondo_beauty,found,https://g9ondo.com/,공식 웹사이트 푸터 소셜 채널 섹션에 instagram.com/g9ondo_beauty 링크로 명시
(주)한국쉬즈라인,toolif.official,found,https://toolif.co.kr,공식 웹사이트 푸터 'Follow us' 섹션에 instagram.com/toolif.official 링크 반복 명시
아이프로덕트,dr.percent_official,found,https://www.instagram.com/dr.percent_official/,검색 결과에서 '닥터퍼센트 (@dr.percent_official)' 공식 계정 확인. INTERCHARM 전시업체 상세 페이지에서도 Dr.Percent 브랜드 = 아이프로덕트 운영사 확인
(주)코비스타,solep_scalp,found,https://www.solepkorea.com/,공식 웹사이트 푸터 소셜 링크에서 instagram.com/solep_scalp/ 직접 확인
LINDSAY&COS Inc.,lindsay_shop,found,https://www.instagram.com/lindsay_shop/,"구글 검색 결과 '린제이 (LINDSAY) @lindsay_shop · Seoul, Beauty brand by Lindsay&Cos Inc.' 명시. 웹사이트(lindsaycos.com) 직접 페치 시 콘텐츠 로드 실패로 사이트 내 링크는 미확인이나 검색 결과에서 브랜드-회사 연결 명시"
주식회사 스타힐스코스메틱,moo100_life,found,https://moo100.com/,공식 웹사이트 푸터 SNS 섹션에서 instagram.com/moo100_life/ 직접 확인
MAKE SOUL,makesoul_official,found,https://www.seoulbeautyhub.kr/en/brands/make-soul-makeup,"Seoul Beauty Hub 브랜드 디렉토리에서 @makesoul_official 확인, 구글 site:instagram.com 검색에서도 '메크쏘울 MAKE SOUL (@makesoul_official)' 이중 확인"
휴션,,notfound,https://www.huceane.com,웹사이트 내 인스타그램 아이콘은 존재하나 실제 계정 URL 비공개(placeholder). 구글 검색 및 site:instagram.com 검색 모두 일치 계정 없음
SKINISGOOD,lissederm_official,found,https://www.instagram.com/lissederm_official/,lissederm.co.kr 운영 브랜드명은 LISSEDERM(리쎄덤). 구글 검색에서 '리쎄덤 LISSEDERM (@lissederm_official)' 공식 계정 확인. 소비자 브랜드 계정 우선 원칙에 따라 쇼핑몰 계정(skinisgood_official)이 아닌 브랜드 계정 채택
솔테라피,saltherapy.official,found,https://saltherapy.us,공식 웹사이트 푸터 'Follow Us' 섹션에서 instagram.com/saltherapy.official/ 직접 확인
어룸,aroomskin,found,https://aroomskin.com/,공식 웹사이트 푸터 소셜 링크에서 instagram.com/aroomskin/ 직접 확인
ANOETIC BEAUTY,anoetic_beauty,uncertain,https://www.instagram.com/anoetic_beauty/,계정 @anoetic_beauty 존재 확인(검색 인덱싱). anoeticbeauty.com 웹사이트 footer에 IG 링크가 placeholder('#')로만 존재해 직접 연결 미확인. @anoetic_kr은 한남동 소재 패션/액세서리 브랜드로 별개 엔티티로 판단됨. 핸들 명칭이 브랜드명과 일치하나 공식 연결 미검증.
(주) 유나이티드앤글로벌,ohave.official,found,https://ohavecosmetic.com/ (웹사이트 footer 직접 확인),ohavecosmetic.com 공식 사이트 footer에 instagram.com/ohave.official 링크 명시.
(주)리쎄코리아,dumidang_official,found,https://www.dumidang.com (웹사이트 직접 확인),dumidang.com 사이트 내 footer 및 커뮤니티 메뉴에 @dumidang_official 반복 명시.
헤아림코스메틱,hearimcosmetic,found,https://www.instagram.com/hearimcosmetic/,검색 결과에서 'HE:ARIM l 헤아림 (@hearimcosmetic)' 확인. 계정에 헤아림코스메틱 신제품 소식 등 브랜드 콘텐츠 존재.
뷰가닉,,notfound,"http://www.dongbangbnh.com (접속 불가/리다이렉트), https://beauganic.co.kr/",입력 website(dongbangbnh.com)가 관련 없는 페이지로 리다이렉트됨. beauganic.co.kr에서도 IG 링크 미발견. 뷰가닉 브랜드 공식 IG 계정 웹검색으로 확인 불가.
"TWOK INTERNATIONAL Co.,Ltd.",gelyours_global,found,https://www.instagram.com/gelyours_global/,검색에서 gelyours.com 제품 페이지와 @gelyours_global 계정이 함께 인덱싱됨. TWOK INTERNATIONAL(경기도 화성시) 소재 젤 네일 스트립 브랜드 'Gel yours'의 공식 글로벌 계정으로 확인.
LK company,,notfound,https://rutiin7.com/,rutiin7.com 사이트 footer에 SNS 링크가 placeholder로만 존재. 복수 웹검색에서도 rutiin7/LK company 브랜드와 연결된 IG 계정 발견 불가. lkcos.com의 LK COSMETICS는 별개 법인.
유앤미코스매틱,celliocosmetic_official,found,https://www.instagram.com/celliocosmetic_official/,검색 결과에서 'YOU&ME cosmetic | 유앤미코스메틱 (@celliocosmetic_official)' 계정 직접 확인. cellio.net(유앤미코스매틱 공식몰)과 연결된 브랜드 계정.
채운,chaewun.official,found,https://www.chaewun.com/ (공식 사이트 네비게이션·푸터 직접 링크),공식 웹사이트 다수 위치에서 instagram.com/chaewun.official 링크 확인
파인월드 / 라비엘,raviel.official,found,https://raviel.co.kr/ (공식 사이트 푸터 직접 링크),공식 사이트 푸터 SNS 섹션에서 instagram.com/raviel.official 링크 확인
주식회사 두봄,doobom_official,uncertain,https://doobommall.com/ (공식 쇼핑몰 SNS 섹션),"doobommall.com 하단 SNS 링크로 @doobom_official 확인. 단, IG 프로필 페이지에서 브랜드 명칭을 텍스트로 재확인 불가(이미지 전용 렌더링). 사이트 귀속 근거는 충분하나 직접 프로필 교차검증 미완"
(주)참존엔씨원,labonita_korea,found,https://labonita-nc1.co.kr/33 (라보니따 공식 사이트 푸터 'SNS 바로가기' 직접 링크),참존엔씨원 운영 브랜드 라보니따(LABONITA) 공식 사이트에서 instagram.com/labonita_korea 링크 직접 확인. 입력 사이트(labonita-global-en.imweb.me)는 글로벌 영문 페이지로 SNS 링크 미노출이었으나 한국 공식 도메인(labonita-nc1.co.kr)에서 확인
(주)코스모어플러스,revcell_official,found,https://www.instagram.com/revcell_official/ (검색결과 직접 노출: '리브이셀 공식 인스타그램'),검색결과에서 '리브이셀 공식 인스타그램 (@revcell_official)'로 명시 확인. revcell.co.kr 공식 사이트는 이미지 기반 SNS 링크로 텍스트 추출 불가였으나 검색으로 공식 계정 특정
주식회사 라콤 (CELL29),cell29.official,found,https://cell29.com/ (공식 사이트 SNS 섹션 직접 링크),cell29.com 하단 SNS 섹션에서 @cell29.official 링크 직접 확인
주식회사 넥슨화장품,,notfound,"http://nexxencosmetic.com, https://m.nexxencosmetic.com/ (공식 사이트 2곳 확인), 복수 웹검색","공식 사이트(PC·모바일 모두) SNS 섹션이 이미지 전용으로 텍스트 핸들 추출 불가. 'nexxen cosmetic instagram', '넥슨화장품 공식 인스타그램' 등 다수 검색에서도 해당 브랜드 IG 계정 미확인. Twitter(@nexxen_mina) 흔적은 있으나 공식 IG 확인 불가"
주식회사 드림코스,,uncertain,"https://camihouse.co.kr/ (공식몰 푸터), https://www.dreamcos.co.kr/","camihouse.co.kr 푸터에는 @celebrity_korea_official(셀러비티코리아, 별도 브랜드) 링크만 존재. CAMIHOUSE 브랜드 자체의 공식 IG는 확인 불가. dreamcos.co.kr에도 CAMIHOUSE IG 링크 미확인. @camihousevn은 베트남 유통 계정으로 추정되어 공식 한국 브랜드 계정으로 채택 불가"
자민경,jaminkyung_official,found,https://jaminkyung.com/ (공식 사이트 INSTAGRAM 섹션 및 푸터에서 직접 확인),공식 사이트에서 @jaminkyung_official 링크 직접 노출
파믹,farmic.official,found,https://www.farmic.co.kr/ (공식 사이트 내비게이션 및 푸터에서 직접 확인),공식 사이트에서 instagram.com/farmic.official/ 링크 직접 노출
"From:Cella / DASHU / Daleaf (ChromaX Co., Ltd)",dashu_official,found,https://chromax.co.kr/en/ 푸터(DASHU); @daleaf_korea: instagram.com/daleaf_korea/ 검색 확인; From:Cella는 확인 불가,"DASHU(@dashu_official, 팔로워 9만, 공식 확인). Daleaf(@daleaf_korea, 달리프 공식 계정 검색 확인). From:Cella 공식 IG 핸들은 웹사이트 및 검색 어디서도 확인되지 않음. 3개 브랜드를 하나의 항목으로 표시하되 확인된 것만 기재: dashu_official / daleaf_korea. fromcella는 uncertain."
주식회사 사계절,,notfound,Google 검색 다수 시도 — 일치하는 결과 없음,"웹사이트 미제공, 검색으로도 뷰티/코스메틱 분야 '주식회사 사계절'의 공식 IG 계정을 확인할 수 없음"
다빈홀딩스,davinnature_kiddums,found,https://davinnature.com/ (공식 사이트에서 '키덤스 공식 인스타그램' 링크로 직접 확인),운영 브랜드 Kiddums(키덤스)의 공식 소비자 브랜드 계정. 법인명 다빈홀딩스 계정은 별도 없고 브랜드 계정이 공식 채널
심플레,simplete_official,found,https://www.simpleteglobal.com (공식 사이트 내 @simplete_official 핸들 명시),공식 사이트에서 @simplete_official 핸들 직접 노출. instagram.com URL은 별도 미기재이나 브랜드명+핸들이 사이트에서 명시됨
레보아미,,notfound,공식 사이트 http://www.amies2.co.kr 확인 및 검색 — IG 링크 없음,공식 사이트에 SNS 링크 없음. K-EXPO 브랜드 전시관 페이지에도 인스타그램 정보 없음. 계정 존재 여부 확인 불가
(주)제이코모,benetus_official,found,instagram.com/benetus_official/ 검색으로 직접 확인 — 베네투스 공식 계정 다수 게시물 확인,제이코모 운영 소비자 브랜드 Benetus(베네투스)의 공식 IG. 서울 인디뷰티쇼 IBS 2025 참가 게시물 등 브랜드 활동 확인됨
주식회사 퍼플링크,not4u_korea,found,http://not4u.kr (footer 소셜미디어 링크: instagram.com/not4u_korea),공식 웹사이트 푸터에서 직접 링크 확인
핑키코스메틱,pinkycosmetic_official,found,https://www.pinkycosmetic.kr/ (내비게이션 SOCIAL MEDIA 및 footer: instagram.com/pinkycosmetic_official),공식 웹사이트 내비게이션·푸터 양쪽에서 직접 링크 확인
모메이,momeii_official,found,https://momeii.com/ (INSTAGRAM 섹션 및 footer: instagram.com/momeii_official),공식 웹사이트 메인 페이지 및 푸터에서 직접 링크 확인
에이치앤와이 상사,dr.misimou,found,http://www.hycoporation.com 및 https://en.hycoporation.com/ (브랜드 Dr. Miss Mow 공식 계정: instagram.com/dr.misimou),운영사(HY Corporation) 계정이 아닌 소비자 브랜드 Dr. Miss Mow 공식 계정. 웹사이트에서 직접 링크 확인
(주) 록키스,rokkiss_official,found,https://www.rokkiss.co.kr (footer 소셜미디어 링크: instagram.com/rokkiss_official),공식 웹사이트 푸터 소셜미디어 섹션에서 직접 링크 확인
HUEHEAL,hueheal_global,found,https://www.instagram.com/p/DVxmOiUkrmu/ (포스트 게시자: @hueheal_global),공식 웹사이트 TLS 오류로 직접 접근 불가. Instagram 포스트에서 계정명 @hueheal_global 확인. 브랜드 명칭·컨텐츠 일치
아이뽀,aippo.official,found,https://www.aippo.co.kr/ (footer Instagram 아이콘 링크: instagram.com/aippo.official),공식 웹사이트 푸터에서 직접 링크 확인
주식회사 링더벨,resear_korea,found,https://ringthebell.kr/ (Follow 소셜미디어 섹션: instagram.com/resear_korea),운영사(Ring the Bell) 계정이 아닌 소비자 브랜드 resear(리써) 공식 계정. 웹사이트에서 직접 링크 확인
ODSY,,notfound,"웹검색 다수 시도 (Google, Instagram 직접 조회)",ODSY 한국 뷰티 브랜드 공식 인스타그램 확인 불가. @odsy_official 계정은 'Odsy_Store'라는 이름으로 존재하나 한국 뷰티 브랜드 여부 확인 안 됨. 공식 웹사이트 미제공으로 출처 교차검증 불가.
크레모랩,cremorlab_kr,found,https://eng.cremorlab.co.kr/index.html (공식 사이트 푸터 소셜링크),공식 사이트에서 @cremorlab_kr(국내 한국어 계정)과 @cremorlab_global(글로벌 계정) 두 개 확인. 국내 소비자 브랜드 계정인 cremorlab_kr 채택.
제이앤지코스메틱(주),,notfound,https://www.gsley.co.kr (공식 사이트 다수 페이지 조회) + 웹검색,공식 사이트(gsley.co.kr) 어디에서도 인스타그램 링크 미발견. 검색 결과에서도 GSLEY 브랜드 공식 인스타그램 계정 확인 불가. @jngcos는 187팔로워 개인/운영자 계정으로 공식 브랜드 계정 아님.
릴릴,lylyl_official,found,https://lylyl.co.kr/index.html (공식 사이트 푸터 소셜링크),공식 사이트 푸터에서 instagram.com/lylyl_official 링크 직접 확인.
(주)승건코스메틱스,loobee_official,found,https://www.loobee.co.kr/ (공식 사이트 푸터 소셜링크),공식 사이트 푸터에서 instagram.com/loobee_official 링크 직접 확인.
주식회사 라오가닉,foellie_official,found,https://www.instagram.com/foellie_official/ + 웹검색 (Google → Instagram 직접 조회 일치),검색 결과에서 @foellie_official이 '포엘리에' 공식 계정으로 다수 확인. Instagram 페이지 제목 '포엘리에 (@foellie_official)'로 직접 확인. @foellie_global(해외 계정)도 존재하나 브랜드 소비자 계정은 foellie_official.
주식회사 씨앤씨플래닛,cnc_planet,found,https://www.cncplanet.co.kr/ (공식 사이트 상단 소셜링크),공식 사이트 상단 소셜미디어 섹션에서 @cnc_planet 직접 확인.
NUNA,nuna_beautylab,found,https://nunabeautylab.com (공식 사이트 푸터·메인메뉴 다수 노출),공식 사이트 푸터 및 메인메뉴에서 @nuna_beautylab 반복 확인.
에브리데이 클랩스,claps__official,found,https://www.claps.co.kr (footer FOLLOW US 링크),공식 웹사이트 footer에서 https://www.instagram.com/claps__official/ 직접 링크 확인
주식회사 해피웍스컴퍼니,bubblemonkey_official,found,https://www.bubblemonkey.co.kr (footer SNS 바로가기 링크),공식 웹사이트 footer에서 https://www.instagram.com/bubblemonkey_official/ 직접 링크 확인
픽셀퓨어,pixelpure_official,found,https://www.pixelpure.com/ (FOLLOW OUR FEED 섹션 및 footer),공식 웹사이트에서 https://www.instagram.com/PIXELPURE_OFFICIAL 직접 링크 확인. 대소문자 표기는 pixelpure_official로 통일
아로다,aroda.official,uncertain,https://www.instagram.com/aroda.official/ (Google 검색 결과),"Instagram 계정 타이틀이 'ARODA 아로다'로 명시되어 있고 뷰티 브랜드로 확인되나, 공식 웹사이트 footer의 IG 링크가 generic placeholder(instagram.com/)여서 사이트에서 직접 연결 확인 불가"
터치인솔,touchinsol.official,found,https://touchinsol.com/ (footer FOLLOW US 섹션),공식 웹사이트 footer에서 @touchinsol.official 및 https://www.instagram.com/touchinsol.official/ 직접 링크 확인
OFBASE,ofbase_official,found,http://www.ofbase.co.kr (footer 링크),공식 웹사이트 footer에서 https://www.instagram.com/ofbase_official 직접 링크 확인
데이셀코스메틱 주식회사,daycell.official,found,https://www.instagram.com/daycell.official/ (Google 검색 결과 + Instagram 페이지 타이틀 확인),Instagram 페이지 타이틀 '데이셀코스메틱 (@daycell.official)'으로 브랜드 일치 확인. 공식 웹사이트(daycellglobal.com) footer에는 IG 링크 미노출
"WONDER BATH (CSA COSMIC Co., Ltd.)",wonderbath_official,found,https://www.wonderbath.com/ (footer SOCIAL 섹션),공식 웹사이트 footer에서 https://www.instagram.com/wonderbath_official/ 직접 링크 확인
fmk 에프엠케이,fmkbeauty_kr,found,https://fmkcos.com/ (footer 소셜 링크),공식 웹사이트 푸터에 instagram.com/fmkbeauty_kr 링크 확인
리꼼 코스메틱,licorne_cosmetics,found,https://licorne.co.kr/ (네비게이션·푸터 소셜 링크),메인 네비 'INSTAGRAM' 및 푸터 모두 licorne_cosmetics 연결. licorne_kr은 하단 보조 링크로 부계정으로 추정
FORMECELL(포미셀),formecell_official,found,https://formecell.com (footer 소셜 링크),공식 웹사이트 푸터에 instagram.com/formecell_official 링크 확인
페이블,fableperfume,found,https://fableperfume.com/ (footer Sociales 섹션),공식 웹사이트 푸터 소셜 섹션에 instagram.com/fableperfume 링크 확인
뷰핸,,notfound,"https://beauhanmall.com/, https://m.beauhanmall.com/page/about.html",웹사이트 전체(PC·모바일·어바웃 페이지)에서 인스타그램 아이콘이 instagram.com 홈페이지로만 연결되어 계정 핸들 미기재. 검색에서도 공식 계정 확인 불가
