회사명,이메일,인스타,웹사이트,카테고리,Tier,홀,부스번호,전화,이메일상태
세이션,overseas@xation.co.kr,,https://xation.co.kr/,스킨케어,Tier A,A,A-D16,02-1566-9252,기존
(주)비앤케이,contact@koreahnb.com,tambeautyme,https://tambeauty.me/,스킨케어,Tier A,A,A-D42,+82 2 6959 1358,기존
줄라이 모닝,clubparty1003@gmail.com,wearejulymorning,https://july-morning.co.kr/,바디/헤어,Tier A,A,A-D46,821037270774,기존
센티카,scentica@raint.kr,scentica_official,https://scentica.co.kr/,향수,Tier A,A,A-D47,070-8112-4007,기존
EBIN KOREA,ebinkorea@ebinnewyork.com,ebinkorea,https://linktr.ee/ebinkorea,스킨케어/바디,Tier A,A,A-E11,02-555-8880,기존
(주)탠코리아,jamiebronzekr@gmail.com,jamie_bronze,http://jamiebronze.com,바디,Tier A,A,A-E23,02-476-7714,기존
디어메이,oversea@beleco.co.kr,dearmay.official,https://en.dearmay.co.kr/,메이크업,Tier A,A,A-E27,,기존
(주)바이옵트,info@venderma.com,venderma_official,https://venderma.com/,더마,Tier A,A,A-E28,+82-2-6180-9000,기존
TROIAREUKE,stella@sislab.com,troiareuke_global,https://www.troiareuke.com/,더마,Tier A,A,A-E31,+82-1833-8820,기존
오미티드,admin@omitted.kr,omittedofficial,https://omitted.kr,스킨케어,Tier A,A,A-E32,070-4741-0025,기존
DAILY WEEKLY,trading@dailyweekly.co.kr,dailyweekly.official,https://www.dailyweekly.co.kr/,스킨케어,Tier A,A,A-E36,07088084700,기존
(주)아트페이스,artface@artfacekorea.com,tenzero_official,https://tenzero.co.kr/,메이크업/스킨케어,Tier A,A,A-E46,+82-2-2263-1140,기존
KOCOSTAR,export@kocostar.com,kocostar,https://firstmarket.co.kr/,스킨케어,Tier A,A,A-F01,02-743-9431,기존
채널스완,kbeauty@oavo.kr,oavo.global,https://www.oavo.global,스킨케어,Tier A,A,A-F21,82-10-5374-1886,기존
CELLEA/BELLADIA,fcsecond@fcsecond.kr,,https://cellea.co.kr/,스킨케어,Tier A,A,A-F22,,기존
포뉴레브,info@fonewlev.com,fonewlev.official,https://fonewlev.com/,향수,Tier A,A,A-F43,070-7772-2040,기존
제이크리컴퍼니,jcre@jcrecompany.com,lefilleo.official,https://linktr.ee/lefilleo?utm_source=linktree_profile_share&ltsid=4f7a3ca8-e2f2-41e8-8220-b04973100003,더마,Tier A,A,A-G11,+82 70 8808 1787,confirmed
웰본,export@welcomesgroup.com,cheongdamstyleshop_official,https://cheongdamstyle.co.kr/,헤어,Tier A,A,A-G23,,기존
"SHINAN COSMETICS Co., Ltd.",admin@shinancosmetics.co.kr,shionle,https://www.shionle.com/,스킨케어,Tier A,A,A-G31,,found
주식회사 일레븐코퍼레이션,b2b@11corp.co.kr,,https://www.11corp.co.kr/,헤어,Tier A,A,A-H03,,기존
주식회사 더마라인,leejy@dermaline.co.kr,dermaline_korea,https://en.dermaline.co.kr,더마,Tier A,A,A-H11,+82-70-7599-1527,Y
로그인 포레스트 (유나뷰티랩),info@loginforest.com,loginforest_official,http://www.loginforest.com,향수,Tier A,A,A-H16,070-7543-8026,기존
디유코스메틱,uj854@naver.com,,http://www.ducos.co.kr,메이크업,Tier A,A,A-I01,0538014500,기존
지구의 온도 G9ONDO,tomato2526@nate.com,g9ondo_beauty,https://g9ondo.com/,바디/향수,Tier A,A,A-I08,,기존
(주)한국쉬즈라인,info@koreashesline.co.kr,toolif.official,https://toolif.co.kr,스킨케어/바디,Tier A,A,A-I21,02-431-5500,confirmed
아이프로덕트,global@iproduct.co.kr,dr.percent_official,https://drpercent.co.kr/,향수,Tier A,A,A-J06,070-4400-3007,Y
(주)코비스타,kbeauty@kobizstar.com,solep_scalp,https://www.solepkorea.com/,헤어,Tier A,A,A-J16,+82 70 4896 4206,기존
LINDSAY&COS Inc.,sales@lindsay.co.kr,lindsay_shop,https://lindsaycos.com,스킨케어,Tier A,A,A-J21,82-2-423-1518,Y
주식회사 스타힐스코스메틱,hmcos@naver.com,moo100_life,https://moo100.com/,헤어,Tier A,A,A-J22,070-4146-3644,기존
MAKE SOUL,jslee@make-soul.co.kr,makesoul_official,https://make-soul.co.kr/,메이크업,Tier A,A,A-J31,01054165572,기존
휴션,,,https://www.huceane.com,더마,Tier A,A,A-K11,,uncertain
SKINISGOOD,yklee@skinisgood.com,lissederm_official,https://www.lissederm.co.kr,더마,Tier A,A,A-K26,01024798717,기존
솔테라피,info@saltherapy.biz,saltherapy.official,https://saltherapy.us,바디,Tier A,A,A-K27,+82-10-9770-4593,Y
어룸,semin@anomalylabs.biz,aroomskin,https://aroomskin.com/,스킨케어,Tier A,A,A-L02,82 1041791318,기존
ANOETIC BEAUTY,leokim@anoetic.kr,,https://anoeticbeauty.com,스킨케어,Tier A,A,A-L03,010-2557-3526,기존
(주) 유나이티드앤글로벌,ohave@unitednglobal.com,ohave.official,https://ohavecosmetic.com/,스킨케어,Tier A,A,A-L07,0319711704,Y
(주)리쎄코리아,lisse@lisse.co.kr,dumidang_official,https://www.dumidang.com,스킨케어,Tier A,A,A-L13,0216444783,Y
헤아림코스메틱,hearim@hearimcosmetic.com,hearimcosmetic,http://www.wechat.com/jgh_1125,스킨케어,Tier A,A,A-L18,+82 (0)70-8866-6552,Y
뷰가닉,james@dongbangbnh.co,,http://www.dongbangbnh.com,헤어,Tier A,A,A-N01,+82-70-4420-6322,기존
"TWOK INTERNATIONAL Co.,Ltd.",info@twokinter.com,gelyours_global,https://www.gelyours.com/,네일,Tier A,A,A-N03,+82-10-2981-3752,기존
LK company,rutiin7@naver.com,,https://rutiin7.com/?NaPm=ct%3Dmpf5bbkh%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3Da027671d195febc9adc2bc228de1b93135,바디,Tier A,A,A-N07,+82 10-4607-9790,기존
유앤미코스매틱,cellio2023@naver.com,celliocosmetic_official,https://www.cellio.net/52,스킨케어,Tier A,A,A-O03,010-4661-1802,기존
채운,official@chaewun.com,chaewun.official,https://www.chaewun.com/,스킨케어,Tier A,A,A-O13,010-6649-1061,기존
파인월드 / 라비엘,sales@raviel.co.kr,raviel.official,https://raviel.co.kr/,스킨케어,Tier A,A,A-O16,070-4122-8400,기존
주식회사 두봄,doobom7727@naver.com,,https://www.wechat.com/wxid_o2dpd2ha982p22,스킨케어,Tier A,A,A-O17,1544-6783,기존
(주)참존엔씨원,superbjhj@gmail.com,labonita_korea,https://labonita-global-en.imweb.me/?redirect=no,스킨케어,Tier A,A,A-O19,+82-10-9286-9318,기존
(주)코스모어플러스,cosmoreplus@cosmoreplus.com,revcell_official,https://revcell.co.kr,스킨케어,Tier A,A,A-O23,070-8805-2410,기존
주식회사 라콤 (CELL29),lacom_official@naver.com,cell29.official,https://cell29.com/,더마,Tier A,A,A-O27,010-3205-3794,기존
주식회사 넥슨화장품,gsales@leeblese.com,,http://nexxencosmetic.com,스킨케어,Tier A,A,A-O28,02-2216-4503,기존
주식회사 드림코스,cp@dreamcos.co.kr,,https://camihouse.co.kr/,스킨케어,Tier A,A,A-O31,+82 10-8949-8427,Y
자민경,youjinsuk1@jaminkyung.com,jaminkyung_official,https://jaminkyung.com/,스킨케어,Tier A,A,A-O38,010-9931-8480,기존
파믹,snr@acefarminc.com,farmic.official,https://www.farmic.co.kr/,스킨케어,Tier A,A,A-P11,070-4848-2387,기존
"From:Cella / DASHU / Daleaf (ChromaX Co., Ltd)",dashu.jungjoo@gmail.com,dashu_official,https://chromax.co.kr/en/,헤어,Tier A,A,A-P12,,기존
주식회사 사계절,,,,이너뷰티,Tier A,A,A-P17,,uncertain
다빈홀딩스,vector@davinnature.com,davinnature_kiddums,https://davinnature.com/,바디,Tier A,A,A-R06,+82 2 392 0330,기존
심플레,ina@liebemi.com,simplete_official,https://www.simpleteglobal.com,스킨케어,Tier A,A,A-R07,+82-10-7750-4536,기존
레보아미,sun2268@naver.com,,https://youtu.be/A4i4Dnwy00c?si=6fGMH5PcQEhqVEEb,스킨케어,Tier A,A,A-R08,+821079172268,confirmed
(주)제이코모,benetus@jcomo.co.kr,benetus_official,https://www.benetus.co.kr/,스킨케어,Tier A,A,A-R09,031-8016-8995,기존
주식회사 퍼플링크,eth@purplelink.kr,not4u_korea,http://not4u.kr,바디,Tier A,A,A-R12,82) 10-9457-2952,기존
핑키코스메틱,pinky@pinkycosmetic.kr,pinkycosmetic_official,https://www.pinkycosmetic.kr/,스킨케어,Tier A,A,A-R17,070-4126-9400,기존
모메이,beautemco@gmail.com,momeii_official,https://momeii.com/,메이크업,Tier A,A,A-R23,,기존
에이치앤와이 상사,yehan1@naver.com,dr.misimou,http://www.hycoporation.com,더마,Tier A,A,A-R25,1670-5848,기존
(주) 록키스,redgirl8282@daum.net,rokkiss_official,https://www.rokkiss.co.kr,스킨케어,Tier A,A,A-R35,070-5173-1122,기존
HUEHEAL,admin@huehea.com,hueheal_global,https://www.hueheal.co.kr,스킨케어,Tier A,A,A-R43,070-7576-0107,기존
아이뽀,aippo1@starluxe.co.kr,aippo.official,https://www.aippo.co.kr/,스킨케어,Tier A,C,C-I03,02-6007-8001,기존
주식회사 링더벨,info@ringthebell.kr,resear_korea,https://ringthebell.kr/,더마,Tier A,C,C-I05,070-8880-6541,기존
ODSY,hello@odsycoltd.com,,,스킨케어,Tier A,C,C-I06,01057070210,found
크레모랩,ayuan@samwhan.co.kr,cremorlab_kr,https://eng.cremorlab.co.kr/index.html,스킨케어,Tier A,C,C-I08,+821087050385,기존
제이앤지코스메틱(주),jngcos@gmail.com,,https://www.gsley.co.kr,스킨케어,Tier A,C,C-I11,+82 2 2135 7776,기존
릴릴,christin@rewindlab.co.kr,lylyl_official,https://lylyl.co.kr/index.html,스킨케어,Tier A,C,C-I15,82 2-567-2210,기존
(주)승건코스메틱스,lppm47@naver.com,loobee_official,https://www.loobee.co.kr/,스킨케어,Tier A,C,C-I18,,found
주식회사 라오가닉,irene@laorganic.co.kr,foellie_official,https://Foellie.co.kr,이너뷰티,Tier A,C,C-J51,82-70-4659-1421,Y
주식회사 씨앤씨플래닛,hu1998@cncplanet.co.kr,cnc_planet,https://www.cncplanet.co.kr/,스킨케어,Tier A,C,C-L56,82)10-9839-7330,기존
NUNA,contact@nunabeautylab.com,nuna_beautylab,https://nunabeautylab.com,스킨케어,Tier A,C,C-M06,,기존
에브리데이 클랩스,claps01@naver.com,claps__official,https://www.claps.co.kr,더마,Tier A,C,C-M52,+82-10-7648-0070,기존
주식회사 해피웍스컴퍼니,jjh@slowness.co.kr,bubblemonkey_official,https://www.bubblemonkey.co.kr,바디,Tier A,C,C-N03,+82-10-9975-3164,기존
픽셀퓨어,tftrading@pixelpure.com,pixelpure_official,https://www.pixelpure.com/,스킨케어,Tier A,C,C-O03,070-8855-5068,기존
아로다,rainsy@dashopmall.co.kr,,https://www.aroda.co.kr,메이크업,Tier A,C,C-O11,8201040124886,기존
터치인솔,br@bonne.co.kr,touchinsol.official,https://touchinsol.com/,메이크업,Tier A,C,C-O16,02-6423-4126,기존
OFBASE,william@eyesomekorea.co.kr,ofbase_official,http://www.ofbase.co.kr,스킨케어,Tier A,C,C-O21,,기존
데이셀코스메틱 주식회사,lancert@daycell.com,daycell.official,https://daycellglobal.com/,더마,Tier A,C,C-O22,+82-10-3945-7564,기존
"WONDER BATH (CSA COSMIC Co., Ltd.)",jsm@csacosmic.com,wonderbath_official,https://www.wonderbath.com/,스킨케어,Tier A,C,C-O26,070-4700-3932,기존
fmk 에프엠케이,fmk@gfcos.co.kr,fmkbeauty_kr,https://fmkcos.com/,더마,Tier A,C,C-O56,031-5183-5510,기존
리꼼 코스메틱,minwoolee@limetree.kr,licorne_cosmetics,https://licorne.co.kr/,더마,Tier A,C,C-P11,+82-31-8066-7312,기존
FORMECELL(포미셀),misun5508@naver.com,formecell_official,https://formecell.com,더마,Tier A,C,C-P17,010-3885-1654,기존
페이블,cs@atnature.co.kr,fableperfume,https://fableperfume.com/,향수,Tier A,C,C-P21,031-777-2342,기존
뷰핸,beauhan@diami.co.kr,,https://beauhanmall.com/,바디,Tier A,C,C-P26,042-719-4188,기존
주식회사 라피끄,cs@rafiqcosmetics.com,plentyplant.official,https://plentyplant.co.kr/,스킨케어,Tier A,C,C-Q03,070-8822-9782,기존
고요이 GOYOYI,hello@goyoyi.com,goyoyi.official,https://goyoyi.com/?NaPm=ct%3Dmpgbeekh%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3Ddb09065ae8709ba906dd4f6911afdda4b73,향수,Tier A,C,C-Q05,01024193758,기존
피에이치하비,phhubby@phhubby.com,phhubby_official,https://en.phhubby.com/,스킨케어,Tier A,C,C-Q06,02-408-2021,기존
EYECANDY (아이캔디),stephen@jworksext.co.kr,eyecandy_co_kr,https://en.eye-candy.co.kr/,헤어,Tier A,C,C-Q07,010-2373-3646,기존
닥터펩티,trade@jncoceu.com,dr.pepti,http://www.jncoceu.com/en/,더마,Tier A,C,C-Q10,,기존
(주)카푸네인터내셔널,t2o3p@naver.com,teamcafune.official,https://cafuneglobal.com/,헤어,Tier A,C,C-Q13,+82 10-9494-7304,기존
주식회사 오버랩스,business@overlaps.co.kr,overlaps.official,https://overlaps.co.kr/,스킨케어,Tier A,C,C-Q21,070-8671-2231,기존
올어바웃아이즈,alleyes@all-eyes.kr,madamelash_official,https://madame-lash.com/,메이크업,Tier A,C,C-R03,02-6241-3003,기존
브라이트,,,https://smartstore.naver.com/brightbrush,더마,Tier A,C,C-R04,,uncertain
오오유 주식회사,contact.bfou@gmail.com,bfou.official,https://www.bfou.kr,스킨케어,Tier A,C,C-R13,07089977265,기존
올웨이즈비퓨어,steven@kailani-int.com,alwaysbepure_global,http://www.alwaysbepure.com,스킨케어,Tier A,L,L-A05,+82-070-8838-0218,기존
리타,liita@proving-grounds.co.kr,liita.official,https://www.liita-seoul.com,스킨케어,Tier A,L,L-A06,+82) 2 6015 6070,confirmed
바루쟈,nsl@thevaruza.com,varuza_official,https://www.thevaruza.com,스킨케어,Tier A,L,L-A07,+82 31-495-9301,기존
주식회사 바이비카,hello@inbutim.com,inbutim_official,https://inbutim.com,헤어,Tier A,L,L-A15,82 10-4266-5880,기존
(주)유에스티,truthofbeauty@naver.com,truthofbeauty_official,https://www.truthofbeauty.kr,스킨케어,Tier A,L,L-A16,070-4203-1847,기존
지비알아이디어,seo9009@hanmail.net,vah_korea,https://www.vah.co.kr,스킨케어,Tier A,L,L-B11,070-4909-9831,found
부드와서울,grandidier_official@naver.com,grandidier_official,http://www.grandidier.kr,스킨케어,Tier A,L,L-B22,07087730777,기존
(주)벤치컴퍼니 Bench company Inc,hglee@benchcompany.kr,fitroot,https://www.fitroot.kr,스킨케어,Tier A,L,L-C06,01099100963,기존
셀릭사,kns.cosmetic@gmail.com,celixa_official,https://celixa.co.kr,더마,Tier A,L,L-C07,070-7780-7436,기존
L-E03: Tender garden 텐더가든 / L-E04: BELDORA 벨도라,vglobal@vplatform.kr,tender_garden_official,https://vplatform.kr/,스킨케어,Tier A,L,L-E03,07077304700,기존
주식회사 더연,theyeonsales@theyeon.net,theyeon_official,https://theyeon.kr/,스킨케어,Tier A,L,L-G02,070-8855-9950,기존
셀비오코스메틱(주),cellviocosmetic@naver.com,cellvio_offlcial,https://www.cellviocosmetic.co.kr/,스킨케어,Tier A,L,L-G06,032-812-6439,confirmed
유니티,luxevo@luxevo.co.kr,,https://luxevo.co.kr,스킨케어,Tier A,L,L-H01,028688847,기존
이아이오(L-H02) / 누이브(L-H03),eiio@cosmetina.co.kr,,https://eiio.co.kr/,더마,Tier A,L,L-H02,,found
주식회사 씨에이치바이오,chbiokorea@naver.com,,https://www.chbio.net,스킨케어,Tier A,L,L-J01,010-8964-1599,기존
(주)케이비에이치케어,kbhcare@naver.com,,https://kbhcare.com/,더마,Tier B,180,180,82-2-868-4795,confirmed
주식회사 아가파월드,info@agafar.com,,https://www.wechat.com/Afgfguknnn,홈디바이스,Tier B,A,A-A01,+82-10-4407-9787,uncertain
듀얼테트라,customercare@cura-pulse.com,,https://dualtetra.co.kr/,홈디바이스,Tier B,A,A-A17,0507-1415-2544,Y
(주)제노헬릭스,xenohelix@xenohelix.com,,http://www.xenohelix.com,더마,Tier B,A,A-A18,+82 32 815 7213,confirmed
Beaufirst Global Company Limited,Beaufirstglobal@gmail.com,,,더마/스킨케어,Tier B,A,A-B01,,uncertain
DERMA YOURCELL,fruitsjuice@naver.com,,https://www.dermayourcell.com/,더마,Tier B,A,A-B06,010-8070-3260,Y
메딕콘,medicon@medicon.co.kr,,http://www.medicon.co.kr/,홈디바이스,Tier B,A,A-B17,070-4220-2582,confirmed
피텐,pms@pitenkorea.com,,https://www.drpiten.com,더마,Tier B,A,A-B18,821090614318,confirmed
"ILLON CO., LTD",global@illon.co.kr,,https://theillon.com/en,더마/스킨케어,Tier B,A,A-B21,+82 2 338 1452,confirmed
주식회사 에르띠코리아,ertykorea@naver.com,,https://www.ertykorea.com/,더마,Tier B,A,A-C02,070-7677-0924,Y
리쥬멜라 코리아,rejumela@naver.com,,https://www.rejumela.co.kr,더마,Tier B,A,A-C03,02-443-6624,confirmed
"BIO GLORIOUS CO.,LTD.",bioglorious@naver.com,,https://palab.co.kr/,더마,Tier B,A,A-C06,02-3492-0777,confirmed
KYUNGLAB,info@ssmb.vn,,https://kyunglab.kr/  ; https://kyunglab.vn/,더마,Tier B,A,A-C07,1900 6383 89 (베트남),Y
㈜나인원코스메디,official@91cosmedi.com,,https://www.wechat.com/nineone9179,더마,Tier B,A,A-C11,02-2664-7891,corrected
르베라쥬,lebelage@lebelage.co.kr,,https://lebelage.co.kr/,스킨케어,Tier B,A,A-D21,+82-2-542-3292,Y
에텔랑,thyme9905@naver.com,,https://www.etelanc.com,스킨케어,Tier B,A,A-D32,010-3133-3536,corrected
세포랩,cepolab@naver.com,,https://cepolab.com/,더마,Tier B,A,A-E01,,corrected
주식회사 메조팜,purple9260@hnamail.net,,https://mesopharm.co.kr/,더마,Tier B,A,A-E16,010-9938-2525,uncertain
(주)미성메탈,jkhan@misunggc.co.k,,https://smartstore.naver.com/misunggc,뷰티소품,Tier B,A,A-E21,0415546334,uncertain
주식회사 정코스메틱,jungco@jungco.co.kr,,http://www.essello.co.kr,더마,Tier B,A,A-F03,041-910-3737,Y
AESTHEIN,aesthein_sa@naver.com,,http://aesthein.kr,더마,Tier B,A,A-F27,0507-1364-1649,corrected
㈜3일애,sales@3dayslove.kr,,https://www.3dayslove.kr/,더마,Tier B,A,A-G32,0215771586,uncertain
더마퀸,limta11@naver.com,,https://themaqueen.com/,홈디바이스,Tier B,A,A-H21,+82-70-4153-7773,confirmed
㈜바이오에프디엔씨,global@biofdnc.com,,https:// www.biofdnc-global.com,더마,Tier B,A,A-H27,062-373-8381,corrected
(주)울파인,ulfine@naver.com,,http://ulfine.co.kr/,홈디바이스,Tier B,A,A-H37,0325747174,Y
(주)피노젠,pinogen@pinogen.com,,https://pinogen.com/,스킨케어/이너뷰티,Tier B,A,A-I02,054-854-8001,corrected
"BiOBiO Co.,Ltd.",biobiocos@naver.com,,https://www.biobiokorea.com/,바디,Tier B,A,A-I06,+8270-4651-6743,notfound
주식회사 라메디텍,puraxel@lameditech.com,,https://www.puraxel.co.kr,홈디바이스,Tier B,A,A-I11,02-852-7982,Y
(주)엠피컴퍼니,jungye@medipair.co.kr,,https://www.medipair.co.kr/,더마,Tier B,A,A-I27,01080407116,confirmed
MLAY INTERNATIONAL LIMITED,mt@mlays.com,,https://www.mlays.com,홈디바이스,Tier B,A,A-I43,00852-70108836,corrected
미영씨앤씨,ecomine@ecomine.co.kr,,https://hesolmall.com/,헤어,Tier B,A,A-J08,051-808-2778,uncertain
디오에스앤유니크,help@doskorea.co.kr,,https://dosinternational.co.kr/en/,홈디바이스,Tier B,A,A-K06,02-444-9962,corrected
엑소블랑,info@linkusglobal.kr,,https://linkusglobal.kr/,홈디바이스,Tier B,A,A-K13,+827041374555,corrected
(주)새로핸즈,saero@saero.co.kr,,https://www.saerohands.com/,향수,Tier B,A,A-K21,02-2211-1157,corrected
(주)제이앤제이,jnj_25@daum.net,,https://earthera01.cafe24.com/,더마,Tier B,A,A-L06,070-7405-2881,confirmed
BOTA C X Choi's Choice lab,cheonghaedam@gmail.com,,https://www.kglowmelb.com,스킨케어,Tier B,A,A-L08,033-635-6640,Y
VINACEUTICALS,official@vinaceuticals.vn,,https://vinaceuticals.vn,더마,Tier B,A,A-L11,+84901288809,notfound
비오아이,jaypal_company@naver.com,,https://bringorganic.com,바디,Tier B,A,A-N02,010-6279-6396,confirmed
SHAAN HONQ INT'L COSMETICS CORP.,sophia@shaanhonq.com.tw,,https://www.shaanhonq.com.tw/,헤어,Tier B,A,A-N33,+88672240011,corrected
코이즈,mkt@oxyfacial.com,,https://oxygenceuticals.co.kr/,더마,Tier B,A,A-O06,01053334714,corrected
(주)배쓰프로젝트,office@bathproject.kr,,https://www.bathproject.kr/,바디,Tier B,A,A-O14,070-8800-7700,confirmed
바이더퀄리티,bythequality@gmail.com,,https://www.bythequality.com/en,더마,Tier B,A,A-O21,+82 70-4233-3347,confirmed
epielle,online@epielle.com,,https://epielle.com/,스킨케어,Tier B,A,A-O26,031-625-2201,found
Korea Honey,sharp-be@naver.com,,https://www.sharp-be.com/,스킨케어,Tier B,A,A-O36,01063187201,corrected
TRINICELL,contact@trinicell.co.kr,,https://trinicell.co.kr/,더마,Tier B,A,A-O37,01077712071,Y
주식회사 제트글로벌,tomtittot.official@gmail.com,,https://tomtittot.com/,더마,Tier B,A,A-P01,01021717957,corrected
"MIMO CO., LTD.",sales@mimonail.com,,https://mimonail.com/,네일,Tier B,A,A-P20,821028736306,corrected
JKOSMEC,sales@jkosmecseoul.com,,https://kr.linkedin.com/in/jkomecs-korea-a50a26259,스킨케어,Tier B,A,A-P21,82-70-5175-0100,corrected
성림 BNC,sunglimbnc@naver.com,,http://www.sunglimbnc.com,홈디바이스,Tier B,A,A-R02,02-413-1945,uncertain
(주)바이오센서연구소,franz@biosensorlab.com,,https://franzskincareusa.com/,스킨케어,Tier B,A,A-R21,+8225345239,corrected
Wati For Skin,twotigers2222@naver.com,,https://youtu.be/UiaA9IiuFWA,스킨케어,Tier B,A,A-R29,070-4366-5940,Y
바이오셀힐 & 카토-카토,sallyshen__@naver.com,,https://bluecpr.com,더마,Tier B,A,A-R34,01062613686,Y
(주)씨유스킨,info@cuskin.com,,https://www.cueshop.co.kr,더마,Tier B,A,A-R39,010 3649 2142,corrected
일공일공 이미지플러스,1010master@naver.com,,https://www.tentengroup.net,바디/이너뷰티,Tier B,C,C-I04,032)623-8717,confirmed
인솔 주식회사,ninova@in-sol.co.kr,,https://kr.linkedin.com/company/in-sol,더마,Tier B,C,C-I13,02-404-7990,Y
주식회사 제이비무역,yrkwoon@naver.com,,https://charmbody.co.kr/,홈디바이스,Tier B,C,C-I20,070-4144-8548,Y
주식회사 에이치피앤씨,hpncmall@hpnc.co.kr,,http://hpnc.co.kr/,더마,Tier B,C,C-K42,,confirmed
주식회사 오션스인터내셔널,oseans@oseansint.com,,http://www.oseansint.com/kr/,스킨케어/메이크업,Tier B,C,C-L36,,corrected
(주)필코코스팜,pilko@pilko.org,,https://pilkocospharm.co.kr/,더마,Tier B,C,C-L47,031-681-2273,confirmed
INOPRO,alexander@inopro.us,,https://inopro.us,오럴케어,Tier B,C,C-M01,+16464184413,confirmed
