idx,구분,회사명,ICP세부,신뢰도,플래그,부스번호,웹사이트,원본카테고리,판단근거,확인사유
63,B,(주)제이앤제이,더마,low,borderline,A-L06,https://earthera01.cafe24.com/,Derma Cosmetics,desc는 추상적 R&D·뷰티제품 위주이나 공식 웹사이트가 카페24 자사몰(earthera)이라 더마 소비자 브랜드 운영으로 추정되어 확인 필요.,저신뢰추정
64,B,JKOSMEC,스킨케어,medium,export|oem_with_brand,A-P21,https://kr.linkedin.com/in/jkomecs-korea-a50a26259,"Skin Care, Facial Masks, Cleansing Products, Contract Manufacturing(OEM/ODM), Hair Care Products",K-beauty 자체 브랜드 표방하며 마스크·클렌저·세럼·헤어케어 풀라인 보유하나 OEM 병행·30개국 수출 중심이라 국내 인플 의향 불명확.,OEM겸자체브랜드
77,B,(주)코윈바이오,더마,medium,oem_with_brand|borderline,L-A11,https://en.mesabluestore.com/,"Skin Care, Derma Cosmetics, Cleansing Products, Contract Manufacturing(OEM/ODM)","원료 B2B 공급 병행이나 자체 더마 브랜드 '메사블루' 보유, 일상 홈케어 적합 명시·자사몰(mesabluestore)·크라우드펀딩 검증으로 소비자 브랜드 인정.",OEM겸자체브랜드
151,B,KPCOS,스킨케어,high,oem_with_brand|export,C-P36,https://kpcos.com,"Skin Care, Natural & Organic Cosmetics, Facial Masks, Contract Manufacturing(OEM/ODM), Others","OEM/ODM 수탁 위주이나 desc에 자체 브랜드 GLAMFOX 제조·유통·수출 명시, 수출형이라 국내 인플 의향 확인 필요한 조건부.",OEM겸자체브랜드
160,B,MLAY INTERNATIONAL LIMITED,홈디바이스,low,device|export|borderline,A-I43,https://www.mlays.com,,"MLAY 자체 브랜드로 PSE/NRTL/TGA 등 전기·기기 인증을 받아 가정용 뷰티 디바이스를 글로벌 D2C 판매하는 정황, 조건부 device.",저신뢰추정
201,B,주식회사 아가파월드,홈디바이스,low,borderline|device,A-A01,https://www.wechat.com/Afgfguknnn,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Skin/Body Diagnosis Equipment",agafar 자체 시술후 스킨케어+뷰티디바이스 솔루션 보유하나 피부과 클리닉 네트워크·프랜차이즈 채널 판매 중심이라 직접 소비자 브랜드성 약함.,저신뢰추정
212,B,주식회사 에스테르,스킨케어,low,borderline,C-P06,,"Skin Care, Body Care, Facial Masks, Brands/Manufacturer(Skin Care), Brands/Manufacturer(Hair Care), Brands/Manufacturer(Bath & Body Care), Hair Care Products",desc 비어 근거 부족하나 category에 Brands/Manufacturer(Skin/Hair/Body) 표기로 자체 브랜드 보유 보수 추정.,저신뢰추정
217,B,주식회사 에이치피앤씨,더마,medium,oem_with_brand|sensitive,C-K42,http://hpnc.co.kr/,"Skin Care, Derma Cosmetics, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Thread Lifts and Fillers",테라비코스·라비덤·메이톨로 자체 코스메슈티컬 브랜드 보유하나 필러·의약품·OEM 등 의료 B2B 비중 큼.,OEM겸자체브랜드
225,B,주식회사 오션스인터내셔널,스킨케어/메이크업,medium,oem_with_brand|export,C-L36,http://www.oseansint.com/kr/,"Skin Care, Make up and Color Cosmetics, Facial Masks, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care)","OEM/ODM 주력이나 더프레스카랩·므시뚜·콜라보엑스 등 자체 OBM 소비자 브랜드 운영, 다만 수출·B2B 고객사 중심이라 국내 인플 의향 확인 필요.",OEM겸자체브랜드
237,B,"ILLON CO., LTD",더마/스킨케어,low,borderline,A-B21,https://theillon.com/en,"Skin Care, Body Care, Derma Cosmetics, Scalp Care Products, Home Aesthetic Device",흡수 중심 하이브리드 코스메슈티컬 자체 브랜드 ILLON(브랜드 사이트 theillon.com) 운영이나 desc에 소비자 판매·리테일 채널 근거가 약해 확인 필요.,저신뢰추정
240,B,주식회사 정코스메틱,더마,high,oem_with_brand|borderline,A-F03,http://www.essello.co.kr,"Skin Care, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care)","OEM/ODM 겸영이나 자사브랜드 베아티스·허니비 보유, 다만 신규 에쎌로는 피부과·에스테틱 전용이라 소비자 직접판매 채널 확인 필요.",OEM겸자체브랜드
250,B,(주)제이지에스헬스큐어,스킨케어,low,borderline,C-Q04,https://mayyoung.kr,"Skin Care, Hair Care Products",스킨케어·헤어 카테고리에 mayyoung.kr 자사몰 도메인 보유로 자사브랜드 추정되나 desc가 추상적 슬로건뿐이라 사업실체 확인 필요.,저신뢰추정
261,B,FACE FACTORY,홈디바이스,low,device|borderline,L-B23,https://www.face-factory.com/,"Skin Care, Home Aesthetic Device",'Medical Grade Devices - Homecare solution'으로 가정용 디바이스 브랜드 시사하나 desc가 한 줄뿐이라 소비자 브랜드성 근거 빈약. (검증변경),저신뢰추정
289,B,KONAD코나드,메이크업,medium,oem_with_brand,C-N46,http://www.konadcosmetic.com,"Skin Care, Make up and Color Cosmetics, Body Care, Facial Masks, Cleansing Products, Hair Care Products, Scalp Care Products","20년 OEM/ODM 제조사이나 'own in-house brands' 명시, 코나드 네일아트는 소비자 인지 자체 브랜드.",OEM겸자체브랜드
312,B,㈜나인원코스메디,더마,medium,oem_with_brand|borderline,A-C11,https://www.wechat.com/nineone9179,"Skin Care, Derma Cosmetics, Contract Manufacturing(OEM/ODM)","OEM/ODM 제조사이나 Rebloom·Curacion·Vital-medi 자사 브랜드 보유, 에스테틱·뷰티살롱 채널 중심이라 일반 소비자 인플 의향 조건부.",OEM겸자체브랜드
314,B,㈜바이오에프디엔씨,더마,medium,oem_with_brand|borderline,A-H27,https:// www.biofdnc-global.com,"Skin Care, Cosmeceutical Products, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Scalp Care Products, Hair Device",코스메슈티컬 원료·OEM 공급이 핵심인 바이오 소재기업이나 필로리젠·리쥬피나 자사 앰플·패치 보유로 조건부.,OEM겸자체브랜드
331,B,더마퀸,홈디바이스,medium,device|export|oem_with_brand,A-H21,https://themaqueen.com/,"Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Brands/Manufacturer(Hair Care), Brands/Manufacturer(Bath & Body Care), Brands/Manufacturer(Medical & Beauty Equipment), Brands/Manufacturer (Tools/Accessories), Scalp Care Products, Hair Device, Hair Tools(Brushes, Combs, Scissors, etc.), Home Aesthetic Device",쿨링마사저·클렌징브러시 뷰티기기 제조사로 자체 브랜드 themaqueen을 올리브영·쿠팡 등에 판매하나 OEM·수출 비중 커 조건부.,OEM겸자체브랜드
360,B,(주)배쓰프로젝트,바디,medium,oem_with_brand|export,A-O14,https://www.bathproject.kr/,"Body Care, Perfumery, Others, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Bath & Body Care)","desc상 '스파&바디케어 브랜드이자 OEM/ODM 제조사', 입욕제·퍼퓸 바디케어를 올리브영·다이소 등 소비자 채널에 유통하나 OEM 비중 큼.",OEM겸자체브랜드
368,B,비오아이,바디,medium,oem_with_brand,A-N02,https://bringorganic.com,"Body Care, Brands/Manufacturer(Nail/Eyelash/Waxing), Waxing Products",OEM/ODM 기업이나 자체 브랜드 '브링오가닉' 운영하며 셀프왁싱·홈케어 소비자 제품 보유로 조건부 대상.,OEM겸자체브랜드
382,B,(주)시카젠,더마,medium,borderline|indie|oem_with_brand,L-D01,https://en.cicagen.com/,"Skin Care, Derma Cosmetics, Natural & Organic Cosmetics, Contract Manufacturing(OEM/ODM)",OEM/ODM 태그가 있으나 desc는 독자 CALS 공정으로 만든 프레시 Cica 90% 앰플·크림 자체 제품을 직접 선보인다고 명시한 병풀 더마 스킨케어 브랜드.,OEM겸자체브랜드
421,B,와더스킨,스킨케어,medium,oem_with_brand,C-M57,https://whataskin7.cafe24.com/shop3/,"Skin Care, Body Care, Facial Masks, Cleansing Products, Contract Manufacturing(OEM/ODM)",20년 제조 경력의 OEM/ODM사이나 자체 비건 스킨케어 브랜드 'What a skin'과 cafe24 자사몰을 운영하는 브랜드 겸영.,OEM겸자체브랜드
468,B,주식회사 메조팜,더마,medium,borderline|oem_with_brand,A-E16,https://mesopharm.co.kr/,"Skin Care, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Scalp Care Products, Peeling","제조 전문이나 다수 자체 브랜드 보유, 메디컬·살롱 코스메슈티컬로 소비자 직판 채널 여부는 확인 필요.",OEM겸자체브랜드
473,B,"MIMO CO., LTD.",네일,medium,borderline|oem_with_brand,A-P20,https://mimonail.com/,"Contract Manufacturing(OEM/ODM), Nail Polish/Gel Nail Polish, Others","네일 OEM/ODM 제조사이나 자체 브랜드 LAGELAVU·MIMO 보유, 네일은 비핵심 뷰티라 조건부.",OEM겸자체브랜드
476,B,"BIO GLORIOUS CO.,LTD.",더마,medium,oem_with_brand|export|borderline,A-C06,https://palab.co.kr/,"Skin Care, Body Care, Derma Cosmetics, Cleansing Products, Brands/Manufacturer(Skin Care), Brands/Manufacturer(Bath & Body Care)","OEM/ODM 제조사이나 자체 더마 브랜드 USOLAB 70제품을 1000+병원·12개국 유통, 다만 병원 전문채널 비중 커 조건부.",OEM겸자체브랜드
506,B,(주)필코코스팜,더마,medium,oem_with_brand|borderline,C-L47,https://pilkocospharm.co.kr/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Contract Manufacturing(OEM/ODM), Contract Manufacturing(Packing,Containers,etc.), Home Aesthetic Device",화장품·스킨부스터·의료기기 OEM/ODM이 주력이나 자체 브랜드 '메디씨엘(Mediciel)'을 론칭해 소비자 판매 중이며 그 비중은 확인 필요함.,OEM겸자체브랜드
7,safe_exclude,(주)네오메디칼제약,,medium,sensitive,L-A01,,,기능성치약·의약외품 OEM/ODM 전문이며 네오케어 브랜드 보유하나 의약외품 민감군.,민감군
108,safe_exclude,"FEMININE CO., LTD.",,low,sensitive|borderline,A-N32,,,desc·website 모두 공란이고 사명이 여성위생 연상 민감군이라 근거 부족으로 안전제외 유지.,저신뢰추정
206,safe_exclude,주식회사 아톨로,,high,sensitive,C-I16,,"Skin Care, Body Care",주력 브랜드 에스트리진이 여성 가장 민감 부위 페미닌 케어 제품으로 민감군에 해당해 안전제외.,민감군
254,safe_exclude,주식회사 질경이,,high,sensitive,A-K22,https://pitch-jilgyungyi.framer.website,Inner Beauty,여성 인티메이트 웰니스(질 건강) 자사 브랜드로 민감군에 해당하여 안전제외.,민감군
419,safe_exclude,프릴리,,high,sensitive,A-P18,https://freelycup.co.kr/,"Contract Manufacturing(OEM/ODM), Others",프릴리컵·청결티슈 등 여성 위생 케어 브랜드로 민감군에 해당해 안전제외.,민감군
