구분,회사명,ICP세부,홀,부스번호,이메일,전화,웹사이트,신뢰도,플래그,검증,판단근거,상세페이지
Tier A,celebon,스킨케어/더마,A,A-B12,dhoh@hlmc.co.kr,1544-5455,https://www.celebon.co.kr,high,,,세포투과펩타이드 특허 침투기술 자사몰(celebon.co.kr) 운영하는 소비자 스킨케어 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.celebon.org-058902fb-548b-41e5-9221-00905bd4ffd3.html
Tier A,matthew chang perfumes,향수,A,A-B13,contact@matthewchangperfumes.com,02-723-1583,https://matthewchangperfumes.com/,high,,,메튜장 자체 향수 브랜드로 소비자 대상 향수 제작·판매.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.matthew%20chang%20perfumes.org-6b3d2119-f07a-421f-bb8f-50804653ed7c.html
Tier A,주식회사 랑벨,더마,A,A-B16,shoo.noh@lanbelle.com,031-607-8707,https://lanbelle.com/,high,,,박애란 대표 설립 더마 스킨케어 전문 자체 브랜드 '랑벨'을 직접 운영.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EB%9E%91%EB%B2%A8.org-61cafa57-3692-4166-baf6-997a9604cbe7.html
Tier A,주식회사 바이잇,스킨케어,A,A-B26,export@luvum.co.kr,02-1599-3451,https://luvum.co.kr/,high,export,,자체 K-뷰티 스킨케어 브랜드 Luvum을 35개국 리테일·이커머스로 판매하는 소비자 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EB%B0%94%EC%9D%B4%EC%9E%87.org-313e66d6-2361-4cfe-b76f-5b28b753ef83.html
Tier A,안탈라,더마,A,A-B28,official@antala.one,051-710-1201,https://antala.kr/,high,export,,"ANTALA·Monjeune 두 더마/슬로에이징 소비자 브랜드 운영, 미국·일본·몽골 수출 중인 자사 브랜드 보유.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%95%88%ED%83%88%EB%9D%BC.org-3a5142bc-b6c9-4c07-9a49-2993a7e5cc17.html
Tier A,스튜디오17,메이크업,A,A-B36,lrkim@thebkor.com,+82 2-6013-6715,https://www.studio17.co.kr,high,,,자체 개발 브랜드 스튜디오17로 브러시 툴 및 기초화장품 라인 전개하는 소비자 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A417.org-d983b3e3-2d9f-4dbe-ae5e-c5eba8c201de.html
Tier A,(주)더엘그룹,스킨케어,A,A-B41,marketing.theel@gmail.com,070-7699-3949,https://theelstore.com/,high,,,자체 스킨케어 MARYABEL·홈디바이스 Skinfit Pro·이너뷰티 등 소비자 브랜드 다수 운영(theelstore 몰).,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EB%8D%94%EC%97%98%EA%B7%B8%EB%A3%B9.org-94f9177f-a134-437d-85d7-df784e5fa14d.html
Tier A,(주)씨케이리제온,헤어,A,A-B48,dermaregeon@ckregeon.com,02-364-6585,https://dermaregeon.com/en/,high,,,"자체 헤어케어 브랜드 HAIRREGEON·HERIBON 운영, 탈모·두피 케어 완제품 소비자 대상.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%94%A8%EC%BC%80%EC%9D%B4%EB%A6%AC%EC%A0%9C%EC%98%A8.org-7c609cc6-eba1-4396-bcf0-aaa839c759e8.html
Tier A,CETERA,더마,A,A-C08,ceterakorea@naver.com,+82-2-577-2270,https://www.wechat.com/cetera1,high,,,엑소좀·PDRN·병풀 기반 메디컬 코스메슈티컬 자사 브랜드로 토너·앰플·크림·쿠션 등 소비자 홈케어 제품군 보유.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.cetera.org-e0f4e25c-e2b4-4508-bc2f-cf1a30f7631c.html
Tier A,(주)섬섬바이오,스킨케어,A,A-C14,sumsum2022@naver.com,+82 61-395-7633,https://searce.shop/,high,export,,"자체 라이프 뷰티 브랜드 SEARCE 운영, 머쉬룸 EM 샴푸 등 대표 완제품 소비자 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%84%AC%EC%84%AC%EB%B0%94%EC%9D%B4%EC%98%A4.org-f676ff77-b653-4a8d-a265-265411bd87bc.html
Tier A,(주)알에이치앤비브랜즈,스킨케어,A,A-C21,info@rhnb.co.kr,0269597001,https://www.ratedgreenglobal.com/prettyactually,high,,,"레이티드 그린·프리티 액츄얼리 두 클린 K-뷰티 소비자 브랜드 운영, 비건인증 스킨케어 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%95%8C%EC%97%90%EC%9D%B4%EC%B9%98%EC%95%A4%EB%B9%84%EB%B8%8C%EB%9E%9C%EC%A6%88.org-41e245bc-a569-4cd8-9ea6-7a11d90e8060.html
Tier A,브에노메디텍,더마,A,A-C23,ds2oph@naver.com,0317171243,https://www.bueno9.com/,high,export,,"엑소좀·펩타이드·PDRN 등 기능성 스킨/바디/더마 자체 브랜드(Bueno) 운영, 글로벌 소비자 대상 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%B8%8C%EC%97%90%EB%85%B8%EB%A9%94%EB%94%94%ED%85%8D.org-7650c2ee-35b0-41f9-8a32-d2ff633fb01a.html
Tier A,쥬네뷰,스킨케어,A,A-C27,dewdap@naver.com,01076671804,https://www.dewdap.com/,high,,,"DEWDAP은 자체 성분 Cicatea 함유, 사내 연구·자사 공장 제조하는 비건 K-뷰티 스킨케어 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A5%AC%EB%84%A4%EB%B7%B0.org-5bc06490-0d37-42cf-9872-b87bd9cfda97.html
Tier A,컬러딥,메이크업,A,A-C31,min@miskos.co.kr,02-6092-2200,https://miskos.co.kr/,high,,,"Color Deep·Moodmatcher 등 자체 색조 브랜드 기획·런칭, 국내외 소비자 채널 판매(연매출 1천억).",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%BB%AC%EB%9F%AC%EB%94%A5.org-2358b96f-2759-48fe-82e9-de94ce962c5d.html
Tier A,주식회사 반다비앤에이치,스킨케어,A,A-C32,vandabnh@vanda.co.kr,+82 70-4640-6107,https://kiwiglow.co.kr/,high,export,,"비건 클린 스킨케어 자체 브랜드 KIWIGLOW(2022 런칭) 운영, 온·오프라인 소비자 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EB%B0%98%EB%8B%A4%EB%B9%84%EC%95%A4%EC%97%90%EC%9D%B4%EC%B9%98.org-2c44abf5-0d82-44cf-841a-17a12c097911.html
Tier A,주식회사 정림에프앤에이치,바디,A,A-C41,4674sjh@naver.com,+82 1085679732,https://www.vanava.co.kr/,high,indie,,2025년 런칭한 바디케어 자체 브랜드 Vanava(Duo Cream)로 소비자 대상 신생 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EC%A0%95%EB%A6%BC%EC%97%90%ED%94%84%EC%95%A4%EC%97%90%EC%9D%B4%EC%B9%98.org-edeeb6c7-2114-4420-a3c3-83fa7651b5f1.html
Tier A,주식회사 웰컴이엔앰,메이크업,A,A-C43,dandymicn@welcomems.co.kr,02-6392-7440,https://welcomesgroup.com,high,export,,셀럽·인플루언서·자체 브랜드 포트폴리오를 직접 운영하는 글로벌 브랜드 컴퍼니로 소비자 대상.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EC%9B%B0%EC%BB%B4%EC%9D%B4%EC%97%94%EC%95%B0.org-1e403ce6-7199-4ad7-bda8-b8fd4f7d8e37.html
Tier A,닥터바이오 & 티블레스,스킨케어,A,A-C46,global_sales@rokcorp.co.kr,063-717-8787,https://litt.ly/corporationrok_global_sales?ref=qr.litt.ly,high,export,,로크가 자체 브랜드 닥터바이오·티블레스를 론칭한 비건 스킨케어 소비자 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%8B%A5%ED%84%B0%EB%B0%94%EC%9D%B4%EC%98%A4%20%20%ED%8B%B0%EB%B8%94%EB%A0%88%EC%8A%A4.org-26c24489-8d1a-4e7f-ac2f-9af6a9341819.html
Tier A,Y.N.M,메이크업,A,A-C48,ynm@ynmcosmetic.co.kr,02-839-7738,https://ynmcosmetic.co.kr/,high,export,,"올리브영 립케어 1위 자체 브랜드 Y.N.M, 20개국 1만 매장 소비자 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.ynm.org-a77f6c74-4a5b-441b-af51-bbc66735afef.html
Tier A,헤트라스,향수,A,A-D01,globalsales@hetras.co.kr,02)777-1777,https://youtu.be/qRuMsXV8pSw,high,export,,한국 1위 디퓨저·프래그런스 자사 브랜드 hetras를 30개국에 소비자 판매하는 향 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%ED%97%A4%ED%8A%B8%EB%9D%BC%EC%8A%A4.org-ea679a43-d862-45dd-87e8-d06fbcc75302.html
Tier A,세이션,스킨케어,A,A-D16,overseas@xation.co.kr,02-1566-9252,https://xation.co.kr/,high,export,,"STANDARD SEOUL 등 더마 스킨케어 자체 K-뷰티 브랜드 개발·수출, 소비자 대상 기능성 제품 명확.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%84%B8%EC%9D%B4%EC%85%98.org-9d1f335f-1790-46c7-8004-1f0438e670d3.html
Tier A,(주)비앤케이,스킨케어,A,A-D42,contact@koreahnb.com,+82 2 6959 1358,https://tambeauty.me/,high,export,,"자체 소비자 브랜드 3개(BARULAB, tam BEAUTY, PYDERIN) 운영, 메가 인플루언서 협업 이력.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EB%B9%84%EC%95%A4%EC%BC%80%EC%9D%B4.org-4ba2d7a6-e6e4-427b-b0fc-0f78aeb64125.html
Tier A,줄라이 모닝,바디/헤어,A,A-D46,clubparty1003@gmail.com,821037270774,https://july-morning.co.kr/,high,,,줄라이모닝(바디·헤어)·고백타임(스킨케어 앰플 8종) 자사 소비자 브랜드 전개하는 K-뷰티 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A4%84%EB%9D%BC%EC%9D%B4%20%EB%AA%A8%EB%8B%9D.org-d3363b14-f0ec-4e66-93a3-bcd037b48f7b.html
Tier A,센티카,향수,A,A-D47,scentica@raint.kr,070-8112-4007,https://scentica.co.kr/,high,,,자체 조향 연구소 기반 독자 향료로 분기별 향수·바디·헤어 소비자 제품을 기획·출시하는 향 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%84%BC%ED%8B%B0%EC%B9%B4.org-a281a84b-1f86-4762-82a3-66d8f6f7b366.html
Tier A,EBIN KOREA,스킨케어/바디,A,A-E11,ebinkorea@ebinnewyork.com,02-555-8880,https://linktr.ee/ebinkorea,high,export,,Cosyuree·Gorilla Waxing·INJECTIER 등 자사 소비자 K-뷰티 브랜드를 보유한 완제품 기업.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.ebin%20korea.org-f62f4c09-7885-4289-a943-91c099edb44f.html
Tier A,(주)탠코리아,바디,A,A-E23,jamiebronzekr@gmail.com,02-476-7714,http://jamiebronze.com,high,,,"태닝 자체 소비자 브랜드 JAMIE BRONZE 운영, 국내외 시장 판매 중인 대표 태닝 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%ED%83%A0%EC%BD%94%EB%A6%AC%EC%95%84.org-a416276d-5b0f-465d-89c8-df3ae5fb5598.html
Tier A,디어메이,메이크업,A,A-E27,oversea@beleco.co.kr,,https://en.dearmay.co.kr/,high,,,DEARMAY는 소녀 타겟 트렌디 감성 메이크업 자체 소비자 브랜드로 명확함.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%94%94%EC%96%B4%EB%A9%94%EC%9D%B4.org-d4b09939-29b8-4d3f-b4a7-f24a85b61878.html
Tier A,(주)바이옵트,더마,A,A-E28,info@venderma.com,+82-2-6180-9000,https://venderma.com/,high,device|export,,"자체 더마 스킨케어 브랜드 VENDERMA 보유, 홈케어 뷰티 디바이스 결합한 소비자 브랜드 운영.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EB%B0%94%EC%9D%B4%EC%98%B5%ED%8A%B8.org-76729697-1fe7-4961-977c-b5c2b4f4bfe7.html
Tier A,TROIAREUKE,더마,A,A-E31,stella@sislab.com,+82-1833-8820,https://www.troiareuke.com/,high,,,"맞춤형 스킨케어 소비자 브랜드 TROIAREUKE 운영, 진단·홈케어 D2C 성격.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.troiareuke.org-2e3f29c1-2777-42d4-b391-6f7e9ab2dae0.html
Tier A,오미티드,스킨케어,A,A-E32,admin@omitted.kr,070-4741-0025,https://omitted.kr,high,export,,비타-C·PDRN 앰플 등 20여개국 수출하는 자사 임상 스킨케어 브랜드 오미티드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%98%A4%EB%AF%B8%ED%8B%B0%EB%93%9C.org-f1cd317a-4298-4c5f-beaf-208eef87b3d1.html
Tier A,DAILY WEEKLY,스킨케어,A,A-E36,trading@dailyweekly.co.kr,07088084700,https://www.dailyweekly.co.kr/,high,,,DAILY WEEKLY 자체 스킨케어 브랜드로 신라·경복궁 면세점 및 파마스퀘어 입점 소비자 판매.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.daily%20weekly.org-b6daaac1-8353-46fb-bb5a-e4248b8cee9f.html
Tier A,(주)아트페이스,메이크업/스킨케어,A,A-E46,artface@artfacekorea.com,+82-2-2263-1140,https://tenzero.co.kr/,high,export,,"색조 브랜드 물다·스킨케어 텐제로 자체 런칭, 명동 텐제로 플래그십 운영하는 소비자 브랜드 보유.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%95%84%ED%8A%B8%ED%8E%98%EC%9D%B4%EC%8A%A4.org-f7eb3ec0-384c-4664-9d0c-0fc87aa7b27e.html
Tier A,KOCOSTAR,스킨케어,A,A-F01,export@kocostar.com,02-743-9431,https://firstmarket.co.kr/,high,,,K-뷰티 마스크 중심 자체 소비자 브랜드로 셀프케어 마스크·스킨케어 제품군을 직접 전개.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.kocostar.org-08a666d5-8d12-49bb-9e16-471b6474d5f5.html
Tier A,채널스완,스킨케어,A,A-F21,kbeauty@oavo.kr,82-10-5374-1886,https://www.oavo.global,high,,,"독립 K-Heritage 브랜드 OAVO 운영, 홍대 오프라인 매장·신규 SKU 등 소비자 브랜드 명확.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%B1%84%EB%84%90%EC%8A%A4%EC%99%84.org-337ac8ee-05ee-42b3-b106-fa6f74e45ab8.html
Tier A,CELLEA/BELLADIA,스킨케어,A,A-F22,fcsecond@fcsecond.kr,,https://cellea.co.kr/,high,export,,NK세포배양액 셀레아·안티에이징 벨라디아 등 자사 프리미엄 스킨케어 브랜드 보유.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.celleabelladia.org-2be3122e-2dcb-4c3a-aa62-861795c62cd5.html
Tier A,포뉴레브,향수,A,A-F43,info@fonewlev.com,070-7772-2040,https://fonewlev.com/,high,,,디퓨저·퍼퓸 핸드크림·바디 등 소비자 프래그런스 자체 브랜드 운영.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%ED%8F%AC%EB%89%B4%EB%A0%88%EB%B8%8C.org-a8e90786-c4ff-43db-8831-84b131c40dbb.html
Tier A,제이크리컴퍼니,더마,A,A-G11,jcre@jcrecompany.com,+82 70 8808 1787,https://linktr.ee/lefilleo?utm_source=linktree_profile_share&ltsid=4f7a3ca8-e2f2-41e8-8220-b04973100003,high,indie,confirmed,"lefilleo 자체 더마 스킨케어 브랜드 운영, 검증성분·전문가 협업 강조한 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A0%9C%EC%9D%B4%ED%81%AC%EB%A6%AC%EC%BB%B4%ED%8D%BC%EB%8B%88.org-0f5ae85e-3b73-4eee-85db-ebb8c2f38776.html
Tier A,웰본,헤어,A,A-G23,export@welcomesgroup.com,,https://cheongdamstyle.co.kr/,high,,,청담스타일 브랜드를 런칭·운영하며 헤어 고데기·염색샴푸 등 자사 소비자 완제품을 홈쇼핑·온오프라인 판매.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%9B%B0%EB%B3%B8.org-5ac09b4b-86d0-4f0d-b94c-516e32a29e53.html
Tier A,"SHINAN COSMETICS Co., Ltd.",스킨케어,A,A-G31,admin@shinancosmetics.co.kr,,https://www.shionle.com/,high,,found,shionle 브랜드로 토너·세럼·크림·마스크 등 다양한 스킨케어 소비자 완제품 라인을 보유.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.shinan%20cosmetics%20co%20ltd.org-25789a7b-d412-4996-9b9b-e7858065fd46.html
Tier A,주식회사 일레븐코퍼레이션,헤어,A,A-H03,b2b@11corp.co.kr,,https://www.11corp.co.kr/,high,,,해양요법 기반 헤어·바디 자체 브랜드 GROWUS를 소비자 대상으로 전개.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EC%9D%BC%EB%A0%88%EB%B8%90%EC%BD%94%ED%8D%BC%EB%A0%88%EC%9D%B4%EC%85%98.org-8445b179-f19a-4e4b-a6f7-10f11813ca07.html
Tier A,주식회사 더마라인,더마,A,A-H11,leejy@dermaline.co.kr,+82-70-7599-1527,https://en.dermaline.co.kr,high,oem_with_brand,Y,"DERMALINE·D'LEXO·r;eden 3개 자체 브랜드 운영, PDRN 라인이 올리브영·코스트코·왓슨스 입점한 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EB%8D%94%EB%A7%88%EB%9D%BC%EC%9D%B8.org-dced0b6d-1c68-4f5b-a2e9-277779d888f8.html
Tier A,로그인 포레스트 (유나뷰티랩),향수,A,A-H16,info@loginforest.com,070-7543-8026,http://www.loginforest.com,high,,,"Login Forest 자체 센티드 바디케어·퍼퓸 소비자 브랜드를 보유, 시즌별 신제품 출시하는 D2C 향 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%9C%A0%EB%82%98%EB%B7%B0%ED%8B%B0%EB%9E%A9.org-ec1e4b0d-491d-486b-b714-b37bd33e3ae2.html
Tier A,디유코스메틱,메이크업,A,A-I01,uj854@naver.com,0538014500,http://www.ducos.co.kr,high,export,,"스파우트 색조화장품 자체 브랜드 JOA(립틴트 등) 다이소·드럭스토어 소비자 유통, OEM도 병행.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%94%94%EC%9C%A0%EC%BD%94%EC%8A%A4%EB%A9%94%ED%8B%B1.org-f07b0ca0-3a8a-4f9f-af0f-425855c566a7.html
Tier A,지구의 온도 G9ONDO,바디/향수,A,A-I08,tomato2526@nate.com,,https://g9ondo.com/,high,,,비건 프리미엄 바디(배스밤)·향기 자사 소비자 브랜드로 면세점·백화점·호텔 납품 등 리테일 전개.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A7%80%EA%B5%AC%EC%9D%98%20%EC%98%A8%EB%8F%84%20%20%20g9ondo.org-677da02a-4498-41fe-a287-cc51dd920ddb.html
Tier A,(주)한국쉬즈라인,스킨케어/바디,A,A-I21,info@koreashesline.co.kr,02-431-5500,https://toolif.co.kr,high,export,confirmed,"1989년 설립 뷰티 전문기업, toolif 자체 브랜드로 다양한 화장품 개발·국내외 유통.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%ED%95%9C%EA%B5%AD%EC%89%AC%EC%A6%88%EB%9D%BC%EC%9D%B8.org-b3b2ca2e-b47e-4996-a9b3-3beecd9a4d90.html
Tier A,아이프로덕트,향수,A,A-J06,global@iproduct.co.kr,070-4400-3007,https://drpercent.co.kr/,high,export|oem_with_brand,Y,OEM이나 desc에 남성향수·그루밍·클린뷰티·바디케어 자체 브랜드를 운영하고 direct sales(D2C)·해외수출한다고 명시.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%95%84%EC%9D%B4%ED%94%84%EB%A1%9C%EB%8D%95%ED%8A%B8.org-d295de89-b993-45b0-809e-a9a83dfaf944.html
Tier A,(주)코비스타,헤어,A,A-J16,kbeauty@kobizstar.com,+82 70 4896 4206,https://www.solepkorea.com/,high,,,"두피케어 자체 브랜드 Solep을 B2C 리테일로 운영(Hi-gro 등 일상케어), 소비자 판매 명확.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%BD%94%EB%B9%84%EC%8A%A4%ED%83%80.org-9df0c782-f8bc-4092-821b-1a5d6f8d33a4.html
Tier A,LINDSAY&COS Inc.,스킨케어,A,A-J21,sales@lindsay.co.kr,82-2-423-1518,https://lindsaycos.com,high,oem_with_brand,Y,"에스테틱·홈에스테틱 자체 브랜드 린제이로 마스크팩·스킨케어를 직접 생산·판매(자체몰 lindsaycos.com), OEM 병행.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.lindsaycos%20inc.org-0ff625ff-b8d4-4368-803e-2886a0d07b39.html
Tier A,주식회사 스타힐스코스메틱,헤어,A,A-J22,hmcos@naver.com,070-4146-3644,https://moo100.com/,high,,,"자사 헤어케어 브랜드 무백(MOO100)을 2,000개 살롱·디지털콘텐츠로 운영하는 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EC%8A%A4%ED%83%80%ED%9E%90%EC%8A%A4%EC%BD%94%EC%8A%A4%EB%A9%94%ED%8B%B1.org-04e4516c-719d-48e4-b28d-799d20849f8b.html
