브랜드명,카테고리,인스타,근거,출처,그룹
닥터에이지,더마 스킨케어(시카·진정),@dr.ag_official,"민감성 특화 식물성 더마 인디, 시카 앰플·리페어크림 라인업으로 성장 중이라 인지도 마케팅 수요 높음",1차,더마
그렛테,두피케어/스칼프,@grette_official,"두피 가려움 케어 특화 신생 인디, 카테고리 인지도 낮아 콜드메일 통한 인플루언서 제휴 수용 가능성 높음",1차,헤어바디
닥터그라프트,두피/탈모 헤어케어,@drgraft_official,"특허 거미실크단백질 성분 내세운 기술형 신생 브랜드, 차별 성분 스토리텔링에 인플루언서 콘텐츠 효과적",1차,헤어바디
그루밍랩,헤어/바디(남성 그루밍),@groominglab.official,"올인원워시·샴푸 중심 남성 그루밍 인디, 무신사뷰티 입점 성장기로 남성 인플루언서 협업 타겟 적합",1차,헤어바디
에티에르,향수/바디워시·고체향수,@atiaer_official,"퍼퓸 바디워시·고체향수 D2C 인디, 향 차별화 소형 브랜드로 인플루언서 향 리뷰 마케팅 여지 큼",1차,향수
바닐라부티크,향 바디케어(퍼퓸 바디),@banillaboutique_official,"마녀공장 산하 향 바디 특화 서브브랜드, 단독 브랜드 인지 확대 위해 인플루언서 향 콘텐츠 활용 여지",1차,향수
라이프넷,바디케어/퍼퓸 바디워시,@lifenet_official,"대용량 퍼퓸 바디워시 가성비 인디, 향 다양성 강점으로 리뷰형 인플루언서 마케팅에 우호적",1차,향수
풀림,바디/진정케어(고체클렌저),@fulim_official,"민감·건성 진정케어 고체클렌저 신생 D2C, 초기 인지도 단계로 콜드메일 인플루언서 제휴 수용 가능성 높음",1차,헤어바디
제주닮,바디케어/향(제주 천연),@jejudalm_official,"제주 천연유래 바디·향 신생 브랜드, 지역 클린뷰티 스토리로 인플루언서 콘텐츠 차별화 여지 큼",1차,헤어바디
본투스탠드아웃,니치 향수 (오드퍼퓸),@borntostandout.official,럼·바나나브레드·바스마티라이스 등 도발적 노트로 컬트 팬덤 형성 중인 서울 인디 하우스. 해외(쁘렝땅·빔즈 협업) 확장기라 인플루언서 시딩 효과 큼,1차,향수
언베니쉬,니치 향수 (오일·롤온 퍼퓸),@unvanish.official,"오일·롤온 레이어링 향수로 차별화한 신생 브랜드, 한남 매장 오픈하며 성장 중이라 룩북·향 리뷰형 인플루언서 콘텐츠가 잘 맞음",1차,향수
포인트투파이브세컨드,니치 향수 + 티(Tea),@025s.official,"향+차 결합 멀티감각 콘셉트로 4.9만 팔로워 보유, 공간·스토리텔링 강점이라 감성 릴스 협업에 최적",1차,향수
페사드,니치 향수 + 핸드크림/핸드워시,@pesade_official,"마장마술 모티프 라이프스타일 향 브랜드, 향수+핸드크림 라인 보유하고 29CM 입점한 성장형이라 시딩 ROI 높음",1차,향수
르플랑에떼,니치 향수 (도시 테마),@lepleinete_official,"한국 도시(서울 등)의 향을 담는 여행 콘셉트, 팔로워 5천대 소규모지만 해외(홍콩·대만) 확장 중이라 글로벌 인플루언서 협업 여지",1차,향수
SW19,니치 향수 (오드퍼퓸),@sw19_official,"미드나잇 등 시간·장소 콘셉트 향수로 무신사 베스트 2위권, 팔로워 2.6만 성장형이라 신제품 시딩 회신율 기대",1차,향수
로에,비건 향수 (오 드 뚜왈렛),@loe_cosmetics_official,"비건·크루얼티프리 향수로 성수 4호점 오픈, 아마존 등 해외 확장 중인 성장형이라 비건·라이프스타일 인플루언서와 핏 좋음",1차,향수
보이드피플스,헤어케어 (컬크림·다운펌·헤어에센스),@voidpeoples,"곱슬/스타일링 고민 정조준한 신생 헤어 인디, 비포애프터 릴스가 강력해 그루밍 크리에이터 협업 전환율 높음",1차,헤어바디
FM프로젝트,남성 바디케어·클렌징,@fmproject_official,"대용량 바디/클렌징 중심 신생 라이프스타일 브랜드, 가성비·데일리 그루밍 소구로 Z세대 숏폼 루틴 콘텐츠에 적합",1차,헤어바디
라보페,스킨케어 (콜라겐·탄력),@labope_official,"성분 스토리(페넬라겐) 중심 신생 인디 스킨케어로 남녀공용 데일리 케어 소구, 성장 단계라 크리에이터 리뷰 시딩 유효",1차,스킨케어
림온,스킨케어,@rim.on__,"제약·더마 출신이 만든 신생 스킨케어 브랜드, 와디즈 펀딩 기반 성장 중이며 팔로워 3.6만 규모로 인플루언서 확장 여지 큼",1차,스킨케어
언더텐,스킨케어,@underten_official,"10가지 이하 최소성분 콘셉트 와디즈 펀딩 출신, H&B·해외 6개국 확장 중인 중소 브랜드로 콘텐츠 협업 수요 존재",1차,스킨케어
더마전시,스킨케어/더마,@dermagency.official,"인플루언서 아옳이(60만)가 만든 더마 코스메틱 신생 브랜드, 긴급 솔루션 콘셉트로 SNS 기반 성장형이라 협업 적합",1차,더마
히디프,스킨케어,@hidiff_official,"인플루언서 휴림이 만든 민감성 비건 스킨케어 브랜드, 팔로워 1만대 성장 구간으로 인플루언서 시딩 효율 높음",1차,스킨케어
더여백26,스킨케어/클렌징,@theyeobaek26_official,"피부과 실장 출신 유튜버 뷰티나니가 만든 신생 브랜드, 서울시 2025 유망 뷰티기업 선정·해외 SNS 마케팅 본격화 단계라 콜드메일 타이밍 좋음",1차,스킨케어
바이셀렉티드,스킨케어,@byselected_official,"한방+피부과학 콘셉트 중소 스킨케어 브랜드, 오픈마켓 중심 유통으로 브랜드 인지도 약해 인플루언서로 인지도 끌어올릴 니즈 큼",1차,스킨케어
순시키,스킨케어/클렌징,@soonsiki.official,"히알루론·약산성 콘셉트 신생 인디 스킨케어, 올리브영·SNS 기반 성장 중인 중소 브랜드로 인플루언서 시딩 수요 존재",1차,스킨케어
스킨웨이비,스킨케어(모공/저속노화),@skinwavey_official,"2025년 5월 첫 제품 출시한 갓 태어난 브랜드, 항당화 모공케어 니치로 인스타 팔로워 수백명대라 초기 협업 제안에 열려있을 가능성 큼",2차,스킨케어
니프니프,스킨케어(콜라겐 마스크/진정),@neafneaf_official,"화해 첫 광고로 단기간 카테고리 상위 진입한 신생 강소, 콜라겐 겔 마스크 외 토너패드·에센스로 확장 중",2차,스킨케어
마이베나,스킨케어(PDRN/엑소좀 앰플),@maybena_official,"PDRN 엑소좀 앰플 단품으로 DTC 30만개 완판한 신생, 일본 등 해외 확장 초기라 콘텐츠 협업 적극적",2차,스킨케어
수퍼에그,스킨케어(비건/대체 달걀),@superegg_kr,"뉴욕발 프리미엄 비건 브랜드로 2024년 국내 정식 진출한 신생, 환경·웰니스 서사로 콜드메일 차별화 가능",2차,스킨케어
디마프 레지나,스킨케어,@demaf.regina,"디마프 라인 확장 신규 라벨, 펀딩 기반 소규모 기초케어 타겟",2차,스킨케어
바이블리,색조 메이크업,@bably.official,"에이블리 첫 자체 뷰티 브랜드로 에이블리 앱 단독 판매, 달쿠션·쿠션리필샷 등 1020 타겟 신생",2차,색조
레스트앤레크레이션 뷰티,색조 메이크업,@restandrecreation_beauty,"무신사 라이센스로 론칭한 패션 기반 신생 뷰티, 무신사 단독 전개되는 올인원 색조 라인",2차,색조
이구어퍼스트로피,향수·프래그런스,@29cm.official,"29CM 자체 라이프스타일 뷰티 PB의 신규 니치 향수 라인, 29CM·성수 오프라인 단독 전개",2차,향수
시솔로지,니치향수,@sisology_official,"카메라 렌즈 캡 디자인으로 '순간을 향으로 현상'하는 컨셉의 신생 인디 향수, 인스타 7천대 소규모",2차,향수
옛새,니치향수,@yetsae.official,"익숙함에서 낯섦으로 가는 젠더리스 컨셉의 인디 향수, 인스타 4천대 초소규모 신생",2차,향수
리튼온워터,홈프래그런스,@written.on.water,자연 영감·안전 원료의 향수와 디퓨저를 만드는 라이프스타일 인디 프래그런스 브랜드,2차,향수
니치크,니치향수,@nichic_official,절제된 무드의 프라이빗 시크 컨셉 2021년 설립 스타트업 니치 향수 브랜드,2차,향수
시낭,니치향수,@sinang.scent,"디자이너 양태오가 세운상가에 쇼룸을 연 '시간 주머니' 컨셉의 신생 퍼퓸, 인스타 2천대 초소규모",2차,향수
라이크노아더,니치향수,@like.no.other_official,니치향수·퍼퓸엑스트라를 다루는 소규모 향수 공방형 인디 브랜드,2차,향수
데저트프리,건조케어 바디스킨케어,@desertfree_official,"모로코 선인장 추출물로 건조 케어 특화한 신생 인디 브랜드, 단일 콘셉트 성분 차별화 뚜렷",2차,헤어바디
비비드스튜디오,색조 (립·아이),,"올해 런칭한 신생 인디, 'Lip Flash Matte' 등 과감한 비비드 컬러가 콘셉트 — 강한 색조 정체성이라 인플루언서 룩북·릴스 마케팅과 궁합 좋음",1차,색조
마이컬러이즈,색조 (퍼스널컬러 메이크업),,퍼스널컬러 기반 색조 인디 브랜드 — 톤 추천·발색 콘텐츠가 인플루언서 마케팅과 직결되는 니치,1차,색조
아꼬제,스킨케어 (제주 자연주의),,"청정 제주 원료 기반 K자연주의 신생 브랜드, 2025 뷰티브랜드대상 자연주의 부문 선정으로 인지도 도약 타이밍",1차,스킨케어
케이부스터,더마 스킨케어(재생·리페어),,"청담 탐클리닉 권혜석 원장 임상 기반 신생 브랜드, ECM 재생 컨셉으로 차별화되나 대중 인지도 낮아 시딩 효과 큼",1차,더마
포레더름,더마 스킨케어(EGF·시카 펩타이드),,"EGF 시카 펩타이드 릴리프크림 중심의 소형 더마 브랜드, 인지도 초기 단계로 콜드메일·시딩 타겟 적합",1차,더마
더마바이오텍,더마 스킨케어(시카·아토 케어),,"시카리닉·닥터베리아 등 민감/아토 라인 보유 중소 더마, 기술 기반이나 대중 인지도 낮아 발굴 가치 높음",1차,더마
비오르,더마 스킨케어(맞춤 솔루션),,"맞춤형 스킨케어 연구 컨셉의 소형 더마 브랜드, 초기 성장 단계로 인플루언서 통한 인지도 구축 수요",1차,더마
더마리서치,더마 스킨케어(자연·과학),,"자연+과학 더마 컨셉의 소형 브랜드, 인지도 미미해 콜드메일로 초기 협업 제안하기 좋은 타겟",1차,더마
더라포,더마 에스테틱 스킨케어,,"'물부터 다른' 컨셉의 에스테틱 더마 신생 브랜드, 차별화 스토리 있으나 인지도 확장 위해 인플루언서 필요",1차,더마
더마셀럽,더마 스킨케어,,"코스메디션이 전개하는 신생 더마 라인, 인지도 초기로 콜드메일·인플루언서 협업 제안 타이밍 적합",1차,더마
나흐,니치 향수 (오드퍼퓸),,"모델 출신 이세한 디렉팅, 2025년 론칭한 최신 관능 콘셉트 인디 하우스. 막 출발한 단계라 콜드메일 타이밍이 이상적",1차,향수
르플랑,니치 향수 (오드퍼퓸),,"소규모 국내 퍼퓸 브랜드로 자체몰·리뷰 활발, 인지도 초기 단계라 향 리뷰 인플루언서 시딩으로 도달 확대 여지 큼",1차,향수
라비드,스킨케어 (생기·기초),,"신생 인디 스킨케어 브랜드로 데일리 루틴 소구, Z세대 남녀 공용 기초 시장에서 인지 확대 위해 숏폼 마케팅 필요",1차,스킨케어
큐비스킨랩,스킨케어,,"안티에이징 루비앰플로 와디즈 펀딩 첫날 1000% 달성한 신생 브랜드, 펀딩 이후 채널 확대 단계라 인플루언서 마케팅 타겟 적합",1차,스킨케어
제니케일리,스킨케어,,"비건더마 콘셉트로 와디즈 500% 펀딩 성공한 신규 브랜드, 런칭 초기라 인지도 빌드업용 인플루언서 시딩 니즈 명확",1차,스킨케어
본셉,스킨케어(레티놀/서브브랜드),,"다이소 유통 중심의 신생 레티놀 더블샷 앰플 라인으로 뜨는 가성비형 신생 브랜드, 개인화 메일 실험 여지 큼",2차,스킨케어
벨라씨앤씨,선케어,,"와디즈 선에센스 우수 프로젝트 선정, 누적 후기 1.4만건의 신생 선케어 브랜드",2차,스킨케어
셀릭사,스킨케어(앰플),,PDRN 앰플로 와디즈 사전알림 3천건 모은 신생 앰플 브랜드(케이앤에스컴퍼니),2차,스킨케어
키미하우스,메이크업(퍼프/툴),,메이크업 퍼프로 와디즈 뷰티위크 성과 낸 신생 색조툴 브랜드,2차,색조
더 비건 글로우,스킨케어(크림),,굿모닝·굿나잇 크림 펀딩 700% 달성한 비건 미니멀 인디 브랜드,2차,스킨케어
베리홉 아하바하파하,스킨케어(각질/토너),,"베리홉 산하 각질케어 라인, 와디즈 펀딩 활발한 소규모 인디 라인",2차,스킨케어
코리아나 라보에이치,스킨케어(두피/탈모케어),,"와디즈 펀딩으로 신제품 테스트한 소규모 기능성 라인, 펀딩형 콜드메일 타겟",2차,헤어바디
매드센트,니치향수,,'미칠 정도로 황홀한 향기' 슬로건으로 반짝이는 순간을 포착하는 인디 향수 브랜드,2차,향수
세컨드,니치향수,,향에 대한 주변 반응 시간을 '초'로 표현한 토털 향기 컨셉의 신생 니치 향수,2차,향수
위스티,퍼퓸 바디헤어케어,,"디어메모리 등 향수 향을 입힌 바디워시·트리트먼트·샴푸 라인업의 소규모 퍼퓸웨어 브랜드, 향 콘셉트가 핵심",2차,향수
꽃마리,두피헤어바디케어,,"제주 표선 로즈마리 플로럴워터 49% 함유 비건 샴푸·바디워시·핸드솝, 제주 허브 성분 차별화의 소규모 협동조합",2차,헤어바디
바디버든프로젝트,두피바디케어,,"체내 유해물질 저감 철학으로 계면활성제 최소화한 천연 샴푸·바디 라인, 성분 안전성 콘셉트 뚜렷",2차,헤어바디
예얼두피테라피,두피스칼프케어,,"박하·검정콩 등 자연유래 성분 두피 쿨링 에센스·모두팩, 펀딩 출신 두피클리닉 기반 소규모 브랜드",2차,헤어바디
베버힐,두피스칼프케어,,"DME가스 분사로 7초 두피열 다운을 내세운 두피 쿨링 에센스, 기술·기능 차별화 명확한 두피 전문 브랜드",2차,헤어바디
캐롤프리스트,두피헤어케어,,약산성 pH 밸런스를 내세운 로즈마리 리프 샴푸 등 성분 콘셉트의 소규모 헤어 브랜드,2차,헤어바디
비욘드그루밍,남성 스킨케어,,"남성 전문 뷰티 편집숍 겸 자체 큐레이션 신생 플랫폼 브랜드, 남성 그루밍 타겟 모객 단계라 마케팅 접점 큼",2차,스킨케어
