브랜드명,카테고리,인스타,근거
미다 (MIDHA),스킨케어,midha_official,"ICP 적합: 고창 친환경 쌀 단일원료 라이스 클린뷰티 인디. 전 제품 영국 Vegan Society 등록, 토너·세럼·크림·선크림 B2C 완제품, IG 약 1.2만 소규모라 협업 여지 큼. 출처: 코스인코리아 2024 인디브랜드 미다(no=52259)·허남옥 대표 인터뷰(no=54889)."
비그린 (Vegreen),스킨케어,vegreen_official,"ICP 적합: 자연유래·친환경 패키징 비건 스킨케어 인디. 동물실험 배제 전 제품 비건 포뮬러, 클렌징오일·앰플세럼·크림 D2C, IG 약 2.1만 자연주의 감성. 출처: vegreen.co.kr 브랜드/지속가능성, @vegreen_official('Korean Vegan Eco-Friendly Skincare')."
투비건 (Tovegan),스킨케어,tovegan.kr,"ICP 부합(완전 신생 아님 주의): 주식회사 토브의 '비건 컬러푸드' 스킨케어. 전 제품 비건 인증, 토너·에센스·클렌징밤, 무신사·W컨셉 입점, 글로우픽 루키 수상 인디로 인플루언서 활용도 높음. 다만 2020~2021경부터 활동. 출처: glowpick.com/brands/12022, 코스모닝(no=46305)."
포뮬리에 (Formulier),스킨케어,formulier_cosmetic,"ICP 적합: COSMOS-ORGANIC 유기농 인증 'Organic & Vegan' 자연주의 인디. 유기농 원료 기초라인 B2C, 인스타·스레드·유튜브로 직접 소통하고 제품협찬 협업 활발해 인플루언서 수요 명확. 출처: formulier.co.kr 브랜드 스토리, @formulier_cosmetic."
본다이시크 (Bondichic),스킨케어,bondichic_kr,"ICP 적합: 호주 자생식물·블루마운틴 스프링워터 원료 비건 스킨케어 인디(한국 운영·국내 판매). PETA 비건·더마테스트, 카카두플럼 미스트·약산성 클렌저 등 B2C, 무신사·옥션·G마켓 입점 소규모 인디. 출처: bondichic.co.kr, 무신사 브랜드관, @bondichic_kr."
제주온 (JEJUON),스킨케어,jejuon_official,"ICP 적합: 제주 자생원료(강황·연잎) 재배~제조까지 제주에서 수행하는 클린·비건 자연주의. 비건 인증, 환경보호 가치 스토리텔링, 로컬 농가 연계 인디 D2C로 인플루언서 콘텐츠 적합. 출처: jejuon.kr, 미주중앙일보 2024-04 제주 비건화장품, @jejuon_official."
씨 (Si),스킨케어,si_vegancosmetic,"ICP 부합(런칭연도 일부 불확실 주의): '자연주의 비건화장품' 한방·자연유래 스킨케어 인디(simko.co.kr). 비건 라인 전개 소규모 D2C로 인스타 중심 소통. 다만 모브랜드 'SI'는 2018 한방 자연주의로 출발해 완전 신생은 아니며 비건 라인은 이후 확장. 출처: 한경 2018 'SI 연작 론칭', simko.co.kr, @si_vegancosmetic."
디퍼앤디퍼 (Differ&Deeper),스킨케어,differndeeper_official,"ICP 적합: 2022.8 론칭 신생 코스메슈티컬(운영사 ㈜더모먼트, B2B 원료사에서 자체 브랜드로 확장). 병의원 임상자문 기반 고기능 앰플 중심, 자사몰+인스타 직판. 대기업 아님. 출처: differndeeper.com 회사소개, 월간인물 인터뷰(2022.8 론칭 명시)."
닥터베이스 (DR.BASE),스킨케어,dr.base_official,"ICP 적합(런칭 2023경 추정): 피부과 전문의 윤지영 원장이 만든 더마코스메틱 인디(㈜닥터베이스코스메틱). HSP 활성 컨셉 선블럭·기초, 자사몰·무신사 등 소비자 직판, 대기업 계열 아닌 중소 인디. 출처: drbase.kr, beautypl.com(2023), @dr.base_official."
아임서울 더마 코스메틱 (I'M SEOUL),스킨케어,imseoul_cosmetics,"ICP 적합: 메디스타컴퍼니(중소기업)의 저자극 더마 스킨케어. 시술후 회복(RC)·비타민C 라인 코스메슈티컬 포지셔닝, 자사몰·네이버스토어 직판. 인스타 팔로워 적은 초기 단계로 인플루언서 수요 큼, 대기업 아님. 출처: imseoul.co.kr, @imseoul_cosmetics."
케어놀로지 (Carenology),스킨케어,carenology_official,"ICP 부합(성장기 인디 주의): 임이석테마피부과 임이석 원장 임상 기반 더마(닥터스코스메틱 계열), 자사몰(carenology95.com)·인스타 직판. 세라마이드·판테놀·병풀 진정 특화, 대기업 아님. 한국고객만족도 2년 연속 1위 등 인지도 상승 중이라 완전 신생보다는 성장기 인디. 출처: carenology95.com/brand, 마리끌레르 K-더마(2025.11)."
나비클 (Navicle),스킨케어,,"ICP 적합(핸들 미확인): 성형·시술 플랫폼 '나비톡' 운영사 ㈜엠에이디씨가 론칭한 신생 스킨케어. 세안 단계 저자극 약산성 클렌징(인체적용시험 저자극), 의료소비자 데이터 기반. 뷰티 브랜드는 초기라 인플루언서 수요 큼. 인스타 공식핸들 미확인으로 공란. 출처: 더퍼블릭(2025 퓨어워터폼 인체적용시험), 포브스코리아."
더셀랩 (The Cell Lab),스킨케어,,"ICP 부합(D2C 비중 추가확인·핸들 미확인): 피부과 연구진 직접 개발(OEM 아님) 민감피부 특화 더마코스메틱 인디. 베타시토스테롤·PDRN 기반 Cell-Tone, 성수 팝업·약 10개국 수출 D2C 확장. 단 롯데홈쇼핑·면세점 유통 비중이 있어 '인스타 직판' 강도는 추가확인 필요, 핸들 미확인으로 공란. 출처: Businesskorea(펜타스템), 포브스코리아."
네쉬 (nesh),헤어바디,nesh.kr,"ICP 적합: 레이어스코스메틱(2021.6 설립)의 여성 두피케어 전문 스타트업. 석류 바이옴 샴푸 화해 탈모완화 샴푸 1위, 전 제품 이브비건 인증, 29CM·올리브영, 시드투자 유치 인디. D2C+SNS 중심으로 인플루언서 여지 큼. 출처: 에너지경제 'K-스타트업의 도약', 뉴스톱 올리브영 상륙."
나르카 (NARKA),헤어바디,narka_you,"ICP 적합: 힌스 공동창업자 최다예 대표 언커먼홈이 2023.8 런칭한 헤어 전문 인디. 비건 헤어 마스카라로 SNS 바이럴, 시코르 입점·서촌 플래그십·프리시리즈A 투자. 감각적 브랜딩·1020 타깃으로 인플루언서 매칭 수요 명확. 출처: 마리끌레르·엘르 인터뷰, besuccess 투자기사."
노크 (KNOCK),헤어바디,knock_comma,"ICP 적합(검증완료): 넘버즈인·퓌 운영사 비나우가 2025 런칭한 신규 바디 브랜드. '바디 토너'라는 새 카테고리(멜트 인 바디 토너), 더현대 팝업, 나나 뮤즈, Z세대 타깃 감각 패키지, 얼루어 라이징 브랜드 선정. 신생+향 중심 바디로 인플루언서 적합. 출처: 얼루어코리아 라이징 뷰티 브랜드 8, knockofficial.com."
어네이즈 (ANAZE),헤어바디,anaze_official,"ICP 적합: 헤어 스타일리스트 겸 유튜버 기우쌤(이성규)의 헤어 전문 인디. 미용실 입소문+올리브영·무신사·W컨셉, 헤어 픽서·롤빗·트리트먼트 등 스타일링. 창업자 자체가 인플루언서 모델로 매칭 수요 큼. 출처: 나무위키 기우쌤, 올리브영·무신사 어네이즈 브랜드관."
릴리이브 (LILYEVE),헤어바디,lilyeve.kr,"ICP 부합('신생' 경계선 주의): 브랜드빌더 바이트랩(2020 설립)의 헤어케어. 그로우턴 엑소좀 두피앰플이 올리브영 헤어케어 1위·일본 큐텐 1위, 미국·동남아 확장. D2C몰+인스타, 두피 얼리케어 트렌드 부합. 다만 모회사 규모가 커지는 중이라 신생 경계선. 출처: flex 공식블로그 '바이트랩', 올리브영 그로우턴 페이지."
라이아 (RIAH),헤어바디,,"ICP 적합(핸들 미확정): 넘버즈인 운영사 비나우가 2022.5 런칭한 두피 솔루션 브랜드. 두피타입별 맞춤처방, 스키니피케이션 트렌드 정중앙, 자사몰 riah.kr. 인스타 공식핸들이 동명 미용실 계정들과 혼동돼 확정 못함→공란. 출처: benow.co.kr 브랜드소개, riah.kr."
아로 (AHRO),향수,ahro_official,"ICP 적합: 한국 조향사가 직접 조향하는 국내 인디 니치 향수. 에디터 출신 대표 전아론, 크라우드펀딩으로 성장·올리브영 1위, 2022.8 롯데백화점 첫 입점 등 최근 부상한 인디 D2C(ahro.co.kr·무신사·29CM). 출처: ahro.co.kr, highoutputclub 인터뷰, fashionbiz."
에이딕트 (A'ddict),향수,addctfragrances,"ICP 적합: 주식회사 일레븐코퍼레이션의 국내 프래그런스. 솔리드퍼퓸(고체향수) 주력 '개개인 본연의 향', 자사몰 addct.kr+올리브영·29CM·무신사, IG 약 17K 신생 인디 B2C로 협업 수요 큼. 출처: addct.kr, 무신사·29CM 브랜드페이지."
투데이이즈 (TODAY(IS)),향수,todayis_official,"ICP 적합: 한국 프래그런스 인디. 5종 오 드 퍼퓸+핸드케어를 자사몰·스마트스토어 직판, 29CM·W컨셉, 무신사 '24 S/S 트렌드 퍼퓸 신진 브랜드 소개. IG 약 14K 신생 인디 B2C. 출처: todayis.co.kr, 무신사 뉴스룸, 29CM."
프라포투투 (FRA422),향수,fra422.official,"ICP 적합: 지속가능 향수 인디(FRAGRANCE+지구의날). 멸종위기 식물 대체향 재현, PCR/PIR 리사이클 병. 향수+천연 에센셜오일 디퓨저를 자사몰 fra422.com 직판, 서촌 매장·성수 팝업. 스토리텔링·지속가능성 소구 강해 인플루언서 여지 큰 신생 인디. 출처: fra422.com, 다음 국내 니치 향수 기사."
헤트라스 (HETRAS),향수,hetras.official,"ICP 적합: 쑥쑥컴퍼니(2021 설립)가 2022.5 론칭한 향 중심 라이프스타일 브랜드. 섬유향수·룸스프레이·헤어&바디·향수 전개, 자사몰·올리브영·무신사, 성수 플래그십, IG 약 67K. 홈/패브릭 프래그런스 신생 강자로 ICP 정중앙. 출처: hetras.co.kr, aving·tnnews."
비비앙 (BIBIANG),향수,bibiang_official,"ICP 적합: 비비앙홀딩스(동두천 소재)의 영앤트렌디 니치 퍼퓸. MZ '인생 향수' 입소문, 무신사 향수 첫 랭킹 1위. 오 드 퍼퓸·섬유향수·핸드크림을 자사몰·올리브영·무신사·W컨셉, 보이넥스트도어 협업 등. 신생 인디 신흥강자로 인플루언서 수요 큼. 출처: bibiang.com, 무신사, 뉴스와이어."
오센트 (OHSCENT),향수,ohscent,"ICP 부합(런칭연도 미확인 주의): 향초·디퓨저로 시작해 차량용 방향제 틈새에서 자리잡은 독립 국내 홈 프래그런스. 30~40대 타깃, 디자인+향 차별화, 디즈니·산리오 IP 협업, 자사몰 직판+올리브영·W컨셉, IG 약 27K. 정확한 런칭 연도는 미확인('신생' 여부 추가확인). 출처: ohscent.com, 스티비 인터뷰."
알보우 (RboW),향수,rbow_official,"ICP 부합(런칭 2020 경계선 주의): 아트디렉터 김소형이 2020 론칭한 아티스틱 프래그런스 하우스. 작가 협업 패키지의 향수·향초·바디케어, 자사몰·세포라코리아·무신사·29CM, IG 약 28K 인디 B2C로 인플루언서 친화적. 런칭 2020으로 '2022 이후' 기준엔 다소 앞서 경계선. 출처: rbowofficial.com, asiatime, heypop."
샤이샤이샤이 (shaishaishai),스킨케어,shaishaishai.official,"ICP 적합: 광노화 안티에이징 컨셉 B2C 인디. 운영사 파인크로스(2020.11 설립), 브랜드 런칭 2022~2023 신생, 올리브영 전국 입점 후 해외 확장. 바나나 컨실 아이크림이 2025 틱톡 글로벌 바이럴된 인플루언서 마케팅 수혜 케이스. 출처: stylekorean.com, mapetitecoree.com, newswire.co.kr."
휩드 (Whipped),스킨케어,whipped._official,"ICP 적합: 휘핑크림/젤라또 텍스처 비건 인디 스킨케어, 2021 창업 소규모 파운더 브랜드. 더현대 팝업 완판·카카오선물하기 성장 후 영문몰·YesStyle 등 해외 진출. 작은 규모+SNS 비주얼 강점으로 국내 인플루언서 시딩 여지 큼. 출처: byline.network(2024.12), koolseoul.com, whipped.co.kr."
누텍스처 (NuTexture),스킨케어,nutexture.official,"ICP 적합(검증완료): 창업자 다니엘라 정의 약 3년차(2022경) 페이스·바디 브랜드, 9개 SKU. 서울→LA 이전하며 미국 리테일 본격화, 올리브영 글로벌 판매. 젤리→미스트 변환 등 비주얼 텍스처가 SNS 친화적. 출처: en.nutexture.com, global.oliveyoung.com, beautyindependent.com."
엔트로피 메이크업 (ENTROPY Makeup),색조,entropymakeup,"ICP 적합: 박소희 대표가 2021 설립한 셀프뷰티 색조 인디(국내 최초 셀프 브로우 펌). Muskat 미국 진출 큐레이션 포함, 2025 여름 20+쉐이드 쿠션 출시 등 해외 확장. 셀프뷰티 인디 색조로 인플루언서 협업 적합. 출처: beautyindependent.com, elle.co.kr, entropymakeup.com."
비노아 (VINOIR),스킨케어,vinoirbkk,"ICP 적합: 스타트업 DECANT가 와인 포마스(부산물)를 업사이클한 2023 런칭 그린 인디 스킨케어. Amazon US·방콕 계정 운영 등 미국·동남아 지향, 친환경·발효 스토리텔링이 인플루언서 콘텐츠 소재로 강점. 출처: koreaproductpost.com, amazon.com/stores/VINOIR, ohlolly.com."
수 (SOOO),헤어바디,,"ICP 적합(검증완료, 핸들 미확인): 마케마케(㈜·2024.5 설립)의 수영인용 헤어케어. 염소 96% 제거 클라리파잉 샴푸/바디워시, Cosmoprof Asia 2025 헤어케어 대상, 더현대 팝업 완판·올리브영·Amazon US 4.7점, 매출 3억(2024)→50억(2025) 전망. 니치 효능 데모가 인플루언서 콘텐츠 적합. 인스타 핸들 미확인으로 공란. 출처: koreatechdesk.com, 테크42, sooo.kr."
시드랩 (Seedlab),이너뷰티,seedlab.official,"ICP 적합: 식물성 초저분자 콜라겐·리포좀 글루타치온 등 피부 중심 이너뷰티+클렌저/패드까지 전개하는 B2C 자사몰 브랜드. 통신판매업 신고 2023으로 신생, 자사몰(seedlab.kr) 직판+인스타 운영으로 인플루언서 수요 명확. 출처: seedlab.kr/brand.html(@seedlab.official 명시)."
슬로우글로우 (SLOWGLOW),이너뷰티,slowglow.kr,"ICP 부합(2021.7 런칭 경계선 주의): 'lifestyle inner beauty buddy' 식물성 콜라겐 포함 이너뷰티 구미 5~6종을 자사몰(slowglow.co.kr) 직판, IG 약 1.1만 적극 운영 인디 D2C. 2021.7 런칭으로 '2022 이후' 기준엔 약간 이른 경계선. 출처: 뉴시스 2021-07-03 '슬로우 글로우 론칭', 베이비타임즈."
