username,full_name,external_url,follower,instagram
matsu_kusarine,ラブマツ(LOVEMATSU),https://fanme.link/@matsu_kusarine,68882,https://instagram.com/matsu_kusarine
mntr39,まなこ/manaco,https://manako.online,42332,https://instagram.com/mntr39
nanao.dayo770,ななおだよ。（保護者管理）,https://www.youtube.com/@nanao.dayo770,15989,https://instagram.com/nanao.dayo770
ogawan_sailormoon,おがわん＝Sailor Ma Ogawa,http://ogawansailormoon.versus.jp/ogwansailormoon/sailormoontop.html,95032,https://instagram.com/ogawan_sailormoon
___.cherry716.___,CHERRY 체리🍒 / KONATSU,https://www.youtube.com/channel/UCl2wXoIV2DTbOuGLgN7H0dg,2569,https://instagram.com/___.cherry716.___
rena_kishimoto,Rena👑#踊るアイス屋娘,https://linktr.ee/rena_kishimoto,3511,https://instagram.com/rena_kishimoto
rin.rin329,𝑅𝐼𝑁𓂃 𓈒𓏸,https://www.threads.net/@rin.rin329,6468,https://instagram.com/rin.rin329
kou_soei283,Kou｜関西｜Dance映像クリエイター ｜村田 耕平,https://liff.line.me/1645278921-kWRPP32q/,1331,https://instagram.com/kou_soei283
tcrown_dance_company,T-CROWN DANCE COMPANY,http://tomoka-dancecompany.com/,2592,https://instagram.com/tcrown_dance_company
risaekigram0820,RisaSaeki 佐伯理沙　Zuǒ mù lǐshā,https://lit.link/saekirisa,1205,https://instagram.com/risaekigram0820
kate_mori,Kate 森 憩斗,https://linktr.ee/kate.mori,2997,https://instagram.com/kate_mori
soya1122kai,soya Kai,https://youtu.be/_1_o2uncLNc,4035,https://instagram.com/soya1122kai
aichi_triennale,国際芸術祭「あいち2025」／Aichi Triennale 2025,https://aichitriennale.jp/,9985,https://instagram.com/aichi_triennale
michi_0119n,𝐌!𝐜𝐡𝐢,https://lit.link/michidance,1914,https://instagram.com/michi_0119n
keitopanpan,Keito Ito,https://linkco.re/6rQHU5zR,3266,https://instagram.com/keitopanpan
sumirenkon,Sumire Kaburagi  Ono,https://youtu.be/p-hsf-I71a4,5202,https://instagram.com/sumirenkon
masaotoyoshiko,優佳(まさよし),https://youtu.be/HGoA7WjyUlA,2121,https://instagram.com/masaotoyoshiko
yufunclub,YUFU,https://youtube.com/@shoumona0707,2278,https://instagram.com/yufunclub
baby_marie_dancer_,Marie,https://youtu.be/nZPWLe_kWdo,1341,https://instagram.com/baby_marie_dancer_
risa.kawamura,川村 理沙（Risa Kawamura）,https://g-rockets.jp/performer/kawamura/,1771,https://instagram.com/risa.kawamura
maiko_miyauchi,Maiko Miyauchi,https://linktr.ee/maikomiyauchi,3558,https://instagram.com/maiko_miyauchi
takuto_yamazaki,Takuto Yamazaki/山﨑巧人,https://takuto-yamazaki.studio.site/,2175,https://instagram.com/takuto_yamazaki
yukinotakaura,Yukino Takaura,http://ndt.nl/,2137,https://instagram.com/yukinotakaura
emayuasa,Ema Yuasa,https://www.emayuasa.com/%23nosmosis,4761,https://instagram.com/emayuasa
tatsuaki_accel,齋藤　竜明,https://accel-tokyo.com/,13243,https://instagram.com/tatsuaki_accel
k_ko_d.i.v.a.s,K-KO,https://youtu.be/Vi0fHFTvrSk,9030,https://instagram.com/k_ko_d.i.v.a.s
toitoi1126,Toy とうい　토이,https://youtu.be/sZDBE63nv9E,1476,https://instagram.com/toitoi1126
dayo._.dayo,dayo🧴,https://x.com/dypiii1/,3721,https://instagram.com/dayo._.dayo
karen.dance,🅺🅰🆁🅴🅽 ​ 🅺🅾🅽🅽🅾 華蓮🪷,https://youtu.be/oikM-cpIEpQ,3623,https://instagram.com/karen.dance
yutapoi,今村 勇太,http://www.poi-lab.com/,2638,https://instagram.com/yutapoi
ryua930,___Ryu-A___,https://youtu.be/_I4GK7GK1cs,2764,https://instagram.com/ryua930
ai.rhythm73,Airi Kanto/菅藤愛吏,https://danbaku.dance/,2319,https://instagram.com/ai.rhythm73
mutsuki_dancetravelist,MUTSUKIN,https://fanme.link/@mutsukin0102,2528,https://instagram.com/mutsuki_dancetravelist
aoooiya,Aoi Homma,https://www.tiktok.com/@aoooiya,1647,https://instagram.com/aoooiya
japanesecanadianculturalcentre,Japanese Canadian Cultural Centre (JCCC),https://linktr.ee/JapaneseCanadianCulturalCentre,8422,https://instagram.com/japanesecanadianculturalcentre
taicheese_1029,タイチーズ😈,https://linkco.re/Vtpy0zp3,15690,https://instagram.com/taicheese_1029
yurikaaaa0520,YURIKA,https://youtube.com/channel/UCcpzwbUbAinayglAxUtUV8w,11861,https://instagram.com/yurikaaaa0520
naoadc20,nao adachi,https://lit.link/naoadachi,1388,https://instagram.com/naoadc20
ayak__a307,Ayaka Kamei,https://kameimoves.com/,1460,https://instagram.com/ayak__a307
melodyperpetual,横尾瑠尉(LUI),https://twitter.com/MelodyPerpetual,6038,https://instagram.com/melodyperpetual
haruhata0314,HARUKA,https://youtu.be/s-Pn1wUAa0o,1294,https://instagram.com/haruhata0314
aren_dance1010,Aren,https://www.tiktok.com/@areeeen51,1350,https://instagram.com/aren_dance1010
nightlifetokyo,,https://ra.co/events/2245160,2232,https://instagram.com/nightlifetokyo
teirumiracle100,TEiRU,https://www.tiktok.com/@teirumiracle100,2271,https://instagram.com/teirumiracle100
tatsumi.imustat,巽imustat,http://twitter.com/tatsumiimustat,2485,https://instagram.com/tatsumi.imustat
daaao_27,Nina Oshida,http://www.tiktok.com/@oggomushi,1498,https://instagram.com/daaao_27
hdi_college,【ダンサー特化】ダンス留学プログラム🇯🇵🇺🇸🇰🇷,https://lit.link/hdicollegelong,17368,https://instagram.com/hdi_college
maho_mermaid,maho mermaid🧜‍♀️🇯🇵マーメイドパフォーマー,https://m.youtube.com/channel/UCiP2ecXHO6_F5nWn1h5S4Iw,3302,https://instagram.com/maho_mermaid
azayakanablue,晴夜 🅷🅰🆁🅴🆁🆄🆈🅰,https://twitter.com/azayakanablue,3561,https://instagram.com/azayakanablue
photoby38,saya,https://www.tiktok.com/@hchan.jp,2579,https://instagram.com/photoby38
a_o_i_6_1_1,Aoi,https://www.tiktok.com/@a_o_i_611,1550,https://instagram.com/a_o_i_6_1_1
__s__rai,shi-h☆,https://twitter.com/shiiiii_131211,4397,https://instagram.com/__s__rai
yuri___0315,𝐘𝐔𝐑𝐈 （ﾕｳﾘ）,https://youtube.com/channel/UCxZuNTkTe79sZG80s9bHFew,3803,https://instagram.com/yuri___0315
tomocula,Tomoyo Kashima,https://asbattlejapan.wixsite.com/asbattle,2550,https://instagram.com/tomocula
tachan._.il4,Ta-chan,https://www.threads.net/@taiki._.1008,2257,https://instagram.com/tachan._.il4
ayahouse___.1122.____,横山絢香/AyakA,http://www.tiktok.com/@aya.dance12,5078,https://instagram.com/ayahouse___.1122.____
junya.0114,JUNYA.,https://youtu.be/31tOzP8l2hM,3134,https://instagram.com/junya.0114
eriko_ide16,井出 恵理子,https://kuropinke16.wixsite.com/official,3965,https://instagram.com/eriko_ide16
saruya_air,SARUYA Artist Residency,http://saruya-air.com/,5204,https://instagram.com/saruya_air
ra1tn_en76_,Ra1TN,http://www.tiktok.com/@ra1tn,1087,https://instagram.com/ra1tn_en76_
shota.jazz,Shota Miyoshi,https://instabio.cc/Shota-jazz,2379,https://instagram.com/shota.jazz
ranshou.f,藤間蘭翔 | Ranshou Fujima,https://linktr.ee/RANSHOU,2404,https://instagram.com/ranshou.f
mahinaap,Mahina Apple,https://mahinaappleband.bandcamp.com/track/tyme-dub-joint-remix-2,3593,https://instagram.com/mahinaap
jabbklab,jABBKLAB,https://www.jabbklab.com/,10315,https://instagram.com/jabbklab
airi_960123,𝔸𝕚ℝ𝕚,https://youtu.be/8cr4SM_cphE,6619,https://instagram.com/airi_960123
676_42.43.42,陸漆陸-6.7.6-,https://676424342.theshop.jp/,1474,https://instagram.com/676_42.43.42
kami_kke,カジ。(Minami Kaji),https://horipro-stage.jp/stage/peterpan/,3251,https://instagram.com/kami_kke
daijiro.hama,Daijiro Hama,http://www.daijirohama.com/,5536,https://instagram.com/daijiro.hama
carolkim930,Caroline Kim 🇰🇷🇺🇸,https://linktr.ee/carolinekim,2509,https://instagram.com/carolkim930
shojin_show_base_kansai,Shojin Show-Base Kansai,https://shojin-enter-labo.work/news/topic_kansai/,3405,https://instagram.com/shojin_show_base_kansai
nairu_danconnect,Nairu Danconnect,https://liff.line.me/1645278921-kWRPP32q/,1269,https://instagram.com/nairu_danconnect
toru_official,Toru Shimazaki  島﨑 徹,https://www.youtube.com/channel/UCeMUTIWY67Cd0V_bnYxoVTA/,4158,https://instagram.com/toru_official
ryuyaman_trap,RYUYAMAN,https://youtube.com/@ryuyaman_trap,9518,https://instagram.com/ryuyaman_trap
yukina__0410,優希菜,https://lit.link/dancestudiodiva,2007,https://instagram.com/yukina__0410
sorah0819,𝗦𝗢𝗟𝗔,https://www.tiktok.com/@sorah0819,2165,https://instagram.com/sorah0819
chal_snow55,ちゃる,https://youtube.com/channel/UC3enrQavpIt0Av6D3SSP-Zg,1414,https://instagram.com/chal_snow55
sakura__mori,SakuRa,https://vt.tiktok.com/ZSJ4ANHXD/,1879,https://instagram.com/sakura__mori
jubi_coach,Junko Sunaga【JUBI】,https://jubillydancecrew.tokyo/,2868,https://instagram.com/jubi_coach
taiga__1230,Taiga,http://www.tiktok.com/@taiga_mask,1096,https://instagram.com/taiga__1230
renkonno,Ren Konno れんこん 蓮 (Alternative),https://lit.link/renkonno,6978,https://instagram.com/renkonno
albirex.cheerleaders,アルビレックスチアリーダーズ,http://www.albirex-cheerleaders.com/,7246,https://instagram.com/albirex.cheerleaders
cebonxgn,Cebo Terry Carr,https://www.versd.co/profile/nxgn,8692,https://instagram.com/cebonxgn
shojin_show_base_tokyo,SHOJIN Show-Base Tokyo,https://shojin-enter-labo.work/,15755,https://instagram.com/shojin_show_base_tokyo
ryoohara1996,Ryo / KADOKAWA  DREAMS / 1️⃣,https://lit.link/kadokawadreams,6313,https://instagram.com/ryoohara1996
ayaka__nagae,Ayaka Nagae (NAGA),https://social-workeeerz.com/about-us/,15689,https://instagram.com/ayaka__nagae
asahiiiiiiiizu,あさひ/ asahi,https://www.tiktok.com/@antanxhzivl,1265,https://instagram.com/asahiiiiiiiizu
marina__tanaka,𝒎 𝒂 𝒓 𝒊 𝒏 𝒂 / 𝗗𝗮𝗻𝗰𝗲𝗿  𝗖𝗵𝗼𝗿𝗲𝗼𝗴𝗿𝗮𝗽𝗵𝗲𝗿,https://lit.link/marinatanaka,16172,https://instagram.com/marina__tanaka
sora.aozora_,青空／あおぞら,https://twitter.com/sora_aozora0520,2443,https://instagram.com/sora.aozora_
airimuuran,AIRI,https://pin.it/6N6yzbUTF,7543,https://instagram.com/airimuuran
trymirai,Try! Mirai!!,https://www.youtube.com/channel/UCXDnAk_EF6H77Qou1xU66Pw,1714,https://instagram.com/trymirai
marikokakizaki_,柿崎 麻莉子,https://mari-kaki.amebaownd.com/,6070,https://instagram.com/marikokakizaki_
life2c_official,Life²c/ライフトゥーシー,https://life2c.slcl.shop,1129,https://instagram.com/life2c_official
tappei_whoarechan,Tappei,https://lit.link/whoareyouchannel,3944,https://instagram.com/tappei_whoarechan
m_shiori0726,松岡汐梨(SHIORI),http://www.tiktok.com/@shiorinrin2003,2052,https://instagram.com/m_shiori0726
popo__mzk,ノダミズキ  Mizuki Noda,https://twitter.com/popo__mzk,1445,https://instagram.com/popo__mzk
runa.rooney,rooney🏴󠁧󠁢󠁥󠁮󠁧󠁿,https://www.tiktok.com/@1mb.girls,2174,https://instagram.com/runa.rooney
erika.o.nail,ERIKA🐈宇都宮ネイルサロン🐈‍⬛下栗町,https://lin.ee/OIO7b4Te,7536,https://instagram.com/erika.o.nail
ichimonji1021,ICHI,https://linktr.ee/ichimonji1021,9890,https://instagram.com/ichimonji1021
sayaka_yasukura_vocal_studio,Voice Professionals代表:安倉さやか,http://yasukurasayaka.com/,11843,https://instagram.com/sayaka_yasukura_vocal_studio
nananico_,NANANICO,https://youtube.com/@thisisnananico,2638,https://instagram.com/nananico_
real__ayaka,AYAKA,https://youtube.com/@4.5tatami-empire,4493,https://instagram.com/real__ayaka
k.ryo_0428,金田了,https://www.tiktok.com/@todai_dance_ryo,1561,https://instagram.com/k.ryo_0428
campanemula,カンパネ村,https://www.youtube.com/@campanemula-nj9uh,3095,https://instagram.com/campanemula
shojin_yotsuya,SHOJIN Show-Base 四ツ谷,https://shojin-enter-labo.work/,1021,https://instagram.com/shojin_yotsuya
kaori_1222,kaori_1222,https://lit.link/ELEVENPLAY,3047,https://instagram.com/kaori_1222
manami_yoden_,余田 愛実,https://lit.link/yodenmanami,2175,https://instagram.com/manami_yoden_
momi16_ji_dance,萌美路　Momiji,https://x.com/momitannnnnnnn,2176,https://instagram.com/momi16_ji_dance
marihikohara,Marihiko Hara / 原 摩利彦,http://marihikohara.bandcamp.com,5244,https://instagram.com/marihikohara
lee98_dancer,Lee Hanai,https://youtu.be/iNGb_kqFRAc,6992,https://instagram.com/lee98_dancer
mynamerikexx,ライキ,https://genkan.tokyo/raiki.html,3935,https://instagram.com/mynamerikexx
runariotwins,RUNARIO,https://www.tiktok.com/@runariotwins25,1258,https://instagram.com/runariotwins
riorio16344,♡花宮 璃央 Rio Hanamiya♡,https://lit.link/riorio16344,6343,https://instagram.com/riorio16344
condense.official,CONDENSE,https://twitter.com/CondenseB3,3764,https://instagram.com/condense.official
nagi.sabrina,NAGI,https://youtu.be/wQtqcG_QkGA,3476,https://instagram.com/nagi.sabrina
pp_risa,RISA 리사,https://m.youtube.com/channel/UCNWpP2mIZvycGa3Br_BfvIg,7574,https://instagram.com/pp_risa
shino.takizawa,SHINO TAKIZAWA,https://balletchannel.jp/42478,4224,https://instagram.com/shino.takizawa
shojin_online_salon_nagoya,shojin dance LABO 【名古屋支部】,https://shojin-enter-labo.work/,1403,https://instagram.com/shojin_online_salon_nagoya
seiya_tawa,Seiya Tawa / 田和 聖也,https://acrobat-bakutore.com/store/tenmabashi,1925,https://instagram.com/seiya_tawa
pfu_pop_chic,5/4.5【POP!!】 【Chic】@GRAFFY HALL,https://t.livepocket.jp/e/xd0sq,1174,https://instagram.com/pfu_pop_chic
mari_kajiya,KAJIYA,https://youtu.be/o0zEQItgyJI,12937,https://instagram.com/mari_kajiya
hidenori0429,HIDENORI,https://lit.link/HIDENORIISHIGE,11403,https://instagram.com/hidenori0429
amiri_araki,AMIRI,https://www.tiktok.com/@amiri_araki,6973,https://instagram.com/amiri_araki
shiori_munakata,𝐒𝐇𝐈𝐎𝐑𝐈,http://linkbio.co/6020211VtSVfL,11216,https://instagram.com/shiori_munakata
juriana_a.i.a,JURIANA,https://lit.link/JURIANA,12266,https://instagram.com/juriana_a.i.a
saarah_bnnlmn,Saarah（BananaLemon）,https://lnk.bio/Saarah,12670,https://instagram.com/saarah_bnnlmn
cenokada,Sen Cen Okada,http://www.cen-dance.com/,3910,https://instagram.com/cenokada
iorisoma,IORI SOMA,https://m.youtube.com/@5soumaiori/videos,5008,https://instagram.com/iorisoma
lulu_lunapi,lulu.Sa.luna,https://youtu.be/eVX6JwoKdSw,4074,https://instagram.com/lulu_lunapi
terupop,TERUPOP,https://www.tiktok.com/@terupop,10235,https://instagram.com/terupop
rio.action_official,Rio,http://twitter.com/Rio_action/,2399,https://instagram.com/rio.action_official
andyyyy10,Andy,http://popstudio88.com/,1655,https://instagram.com/andyyyy10
87hana_87,Hana Yasuoka,https://87creed87.wixsite.com/mysite,9011,https://instagram.com/87hana_87
