브랜드명,6월반영,카테고리,인스타,근거
무지개맨션 (Muzigae Mansion),,색조,muzigae_mansion,"비건 '오브제 코스메틱' 콘셉트 인디 색조. 오브제 리퀴드/워터 틴트·립앤치크 등 립·블러셔 중심, 자사몰+무신사·신라면세점, 일본·미국 확장, IG 기반 바이럴. 출처: muzigae-mansion.com·iherb."
이지비건 (EGVEGAN),✓,색조 (비건),egvegan_official,"2021년 설립·2022.05 런칭 신생 인디 비건/친환경 메이크업. '쉬운 비건' 표방 B2C, IG 운영 활발해 인플루언서 여지 큼. 2022+ 인디·B2C·비건 ICP에 정확 부합. 출처: saramin 기업정보·egvegan.com."
로로비건 (Lolovegan),✓,스킨케어 (비건),lolovegan.global,"글로우프로젝트가 2021년 출시한 저자극 클린·비건 스킨케어 인디. 전 제품 영국 비건소사이어티 인증, 크루얼티프리·친환경 패키지, 17개국 확장 B2C라 글로벌 인플루언서 협업 수요 큼. 출처: cosinkorea·lolovegan.co.kr."
피치포포 (Peach Pope),✓,스킨케어·색조 (비건),peachpopo.official,"2021.05 런칭 'Delight Vegan' 신생 비건 뷰티(올리브인터내셔널 운영). 카밍 라인·비건 쿠션 등, 29CM·W컨셉 등 취향형 셀렉트샵 입점으로 MZ·인플루언서 친화. 출처: 29CM·wconcept·peachpopo.com."
수이스킨 (SUISKIN),,스킨케어 (클린·비건),suiskin_official,"클린 비건 표방, 발아새싹수·녹차 등 식물성 원료·업사이클링. '어린 새싹 클린 토너'가 출시 3개월 만에 올리브영 톱셀러, 2024 화해 어워드 호평으로 신생 성장세. 출처: asiatime·cosinkorea·suiskin.co.kr."
오린힐 (ORINHEAL),✓,스킨케어 (자연주의·비건),orinheal,"제주 원료(당근·용암해수) 기반 순한 자연주의. 비건 인증·인공향/색소 배제, 빅디테일㈜ 운영 독립 B2C. 클린·자연주의 감성 부합. 출처: orinheal.com."
보나쥬르 (BONAJOUR),,스킨케어 (천연·비건),bonajour_official,"'천연&비건화장품' 전면 표방 독립 자연주의 스킨케어. 어성초·식물 유래 클린 포뮬러, 자사몰+IG 기반 D2C로 인플루언서 여지. 대기업 계열 아님. 출처: 무신사·bonajour.com."
너리쉬 (Nerish),✓,스킨케어 (더마),nerish_official,"아시아비엔씨가 2022.02 론칭한 자연주의 더마 신생. '소이 세라마이드 배리어 앰플'을 와디즈/카카오메이커스로 검증 후 자사몰 D2C, '2022 넥스트 K-뷰티' 선정, 민감성/장벽 타깃이라 인플루언서 여지 큼. 출처: cosinkorea.com·nerish.co.kr."
아이보스킨 (IVOSKIN),✓,스킨케어 (더마),ivoskin_official,"㈜이너시아 운영 신생 더마. 아토피를 직접 겪은 과학자가 개발한 시카 리페어 크림·저자극 토너를 자사몰 D2C 직판, 민감성 진정 스토리 기반이라 인플루언서 소구 큼. 출처: ivoskincare.com·moduba.com."
테라로직 (Theralogic),,스킨케어 (비건 더마),theralogic_official,"닥터스피부과(닥터스코스메틱) 비건 더마. 자사몰 D2C, 2024.02 일본 진출 등 최근 급성장 신생, 레티놀 등 성분 마케팅·서포터즈로 인플루언서 협업 활발. 출처: theralogic.co.kr·nate.com."
브래비티 (BRAVITY),✓,스킨케어 (더마),bravity_official,"화장품사 J2S가 2021.01 론칭한 줄기세포배양액 기반 고기능 더마 신생 인디. 자사몰 D2C+무신사·W컨셉, IG 약 1.5만으로 인플루언서 여지. (런칭 2021로 컷오프 직전이나 인디·D2C 부합). 출처: hankookilbo.com·bravity.co.kr."
제나벨 (Genabelle),✓,스킨케어 (더마),genabelle_official,"㈜제나랩 고기능 더마. 연어 PDRN 고함량 토너/크림을 자사몰·올리브영·무신사·iHerb 직판하는 인디 규모, PDRN 트렌드+민감성 진정 소구로 인플루언서 마케팅 적합. 출처: genabelle.co.kr·thevc.kr."
더마팩토리 (DERMA FACTORY),,스킨케어 (더마),dermafactory_official,"2021.03 론칭 고함량 단일성분(나이아신아마이드 20%·PDRN 4%) 더마 세럼. 네이버/쿠팡 D2C 급성장 후 올리브영 입점, SNS·성분 리뷰 마케팅 활발한 인디. (런칭 2021 유의). 출처: hankyung.com·wowtv.co.kr."
슬로우허밍 (Slow Humming),,바디케어·향,slowhumming_official,"2023.02 디와이디(DYD) 공식 론칭 비건 리추얼 라이프(전 제품 한국 비건 인증). 퍼퓸 바디워시·바디로션을 무신사·자사몰 직판, 2023 얼루어 클린 어워드 위너, IG 운영. 출처: 머니투데이·얼루어·slowhumming.com."
민트리 (Mintree),,헤어·스칼프케어,mintree_official,"독립 인디(오원인터코스) 두피 홈스파 전문 완제품. 2023년경 활동 시작, 2024.10 올리브영 입점, 2025 현대백화점 팝업으로 성장기 신생, IG 직접 소통. 출처: mintree.co.kr·네이트 뉴스."
러비더비 (Lovey Dovey),,바디케어·향,loveydovey_official,"'향기로운 비건 라이프' 인디 향 브랜드(㈜제이엘벤처스). 비건 퍼퓸 바디워시·핸드케어 등 바디 라인, W컨셉·무신사·자사몰 직판, IG 운영. (단 섬유향수/디퓨저 등 홈프래그런스 비중도 있음). 출처: loveydovey.co.kr·무신사."
원오세븐 (107 / oneoseven),✓,헤어·스칼프케어·스킨케어,107_korea,"독립 인디(㈜원오세븐), 전통 발효식초 기반 '모던 헤리티지'. 2022.04 두피 전문 마이크로바이옴 샴푸 출시로 스칼프 진입, 발효 스킨케어 병행, 미국→한국 전개, IG 직판. 대기업 아님. 출처: cosinkorea·107beauty.co.kr."
엉트르두 (Entredeux),✓,향수 (니치 퍼퓸),entredeuxparfums,"2022.12 론칭 한국 하이엔드 니치 향수. '서울 기획·프랑스 조향' 컨셉 EDP 3종으로 시작, 런칭 팝업·SI빌리지 입점. 2022 신생·B2C 완제품 향수·인디. 출처: 아주경제·entredeuxparfums.com."
유쏘풀 (Youssoful),,향수 (니치 퍼퓸),youssoful,"2022년 설립 국내 니치 향수(스테이위드). 캔들/디퓨저로 시작해 오드퍼퓸 확장, 무신사·SSG 입점 및 중국·일본·중동 수출. 2022 신생·B2C·자체 조향·인플루언서 수요 큼. 출처: 잡코리아·하퍼스바자·youssoful.co.kr."
케이쓰 (KEYTH),✓,향수 (니치/프리미엄 퍼퓸),keythofficial,"2023.11 론칭 프리미엄 향 브랜드(키스인터내셔날). ISIPCA·NIFFS 출신 조향사 EDP 6종, 올리브영 향수/디퓨저 1위, 29CM·한섬 입점. 2023 신생·B2C 완제품 향수·인디. 출처: 더페어·keyth.co.kr·IG @keythofficial."
포스테스 (Postes),,향수 (니치 퍼퓸),postes_official,"2025.05 성수동 부티크 오픈 신생 K-프래그런스. '우체국' 모티프 8개 도시 무드, 올리브영 온라인 입점, SNS 인증샷 화제. 2025 신생·B2C·인스타 바이럴/인플루언서 마케팅 최적. 출처: 엘르·postes.kr."
사운드그린 (Soundgreen),✓,향수 (비건 니치 퍼퓸),soundgreen_official,알레르겐 배제·민감성 테스트 완료 저자극·비건 향수 표방 국내 니치(합리적 가격대). 비건/저자극 콘셉트로 인플루언서·리뷰 마케팅 여지 큰 인디 B2C. 출처: 하퍼스바자·디자인컴퍼스·soundgreen.kr.
라 바이에떼 (La Variété),✓,향수 (니치 퍼퓸),la.variete_fragrance,"'다채로운 감정의 향기' 표방, 향을 예술 영역으로 접근하는 국내 니치 향수. EDP·포터블·디퓨저 세트, 29CM·SSF샵·SI빌리지 입점, 아트 협업형으로 인플루언서 여지. (정확 론칭연도 비공개). 출처: 하퍼스바자·lavariete.co.kr."
센츄어리 (Scentuary),✓,향수 (니치 퍼퓸),,"영화/디자인 출신 창업자+조향사가 '익숙한 판타지' 슬로건으로 만든 신생 니치 향수(퀸타센스, 종로구). 데뷔작 '재즈민' EDP, 재즈바 협업 전개. 신생(2024~2025)·B2C·스토리텔링형 인디. (공식 IG는 동명 해외계정 혼동 우려로 공란). 출처: 하퍼스바자·scentuary.cafe24.com."
엘로레아 (ELOREA),✓,향수 (K-프래그런스 니치 퍼퓸),elorea,"2021년 한국계 미국인 부부가 시작한 K-fragrance 니치 향수. 깻잎·오미자·녹차 등 한국 향료, 뉴욕 본사+한국 스토어 운영, NYT·엘르 소개. 한국 진출 K-fragrance 인디·B2C, IG 11만으로 인플루언서 활발. (런칭 2021로 컷오프 약간 앞섬). 출처: 보그코리아·whowhatwear·IG @elorea."
헤브블루 (HEVEBLUE),✓,스킨케어,heveblue_cosmetic,"성분·함량 투명 공개 민감성 스킨케어 신생 인디. 2026 큐텐재팬 메가데뷔 어워즈 수상 일본 진출, 국내/글로벌/일본 IG 별도 운영하는 직판형. 해외 진출 지향+국내 인플루언서 여지 명확. 출처: bizwatch.co.kr·heveblue.co.kr."
샤르드 (CHARDE),✓,스킨케어,charde_official,"에센셜리스트 스킨케어 신생 인디. 2026 큐텐재팬 메가데뷔 어워즈 대상으로 일본 급성장, 국내/글로벌 IG 분리 운영 직판형. 해외 진출 지향+국내 인플루언서 여지. 출처: beautynury.com·greened.kr·charde.co.kr."
퓌 (fwee),✓,색조,fwee_makeup,"2021년 시작 MZ 무드 색조 인디(쿠션 글래스/푸딩팟). 일본·미국 팝업 및 플래그십, 미국 Ulta 신규 입점, IG·틱톡 바이럴 굿즈 중심 직판으로 국내 인플루언서 여지 큼. (다소 이른 런칭이나 인디 규모 해외확장기). 출처: Glossy·fwee.kr."
잉가 (INGA),,색조,inga_official,"워터 글로우 립틴트로 알려진 색조 인디(㈜에이비티아시아). 2024 쇼피 신규 입점, 동남아 히트, 국내/일본/글로벌 IG 운영 직판형으로 인플루언서 마케팅 적합. 출처: shopee.kr·meconomynews·ingacos.com."
아렌시아 (Arencia),,스킨케어 (클렌징·비건),arenciaofficial,"그린 아르티장 떡솝(클렌저)·홀리히솝 세럼 중심 비건 클렌징/스킨케어 인디. 2023 큐텐재팬 입점 후 아마존재팬 클렌징폼 1위, 일본 오프라인 330여 매장 확산, IG 직판형. 출처: thepowernews·vegannews·arencia.com."
바이오던스 (Biodance),,마스크팩·스킨케어,biodance_official,"바이오 콜라겐 리얼 딥 마스크로 미국 아마존 히트·세포라/Boots 확장 신생 인디(뷰티셀렉션, 인플루언서 커머스 출신). 인플루언서 마케팅 기반 성장 이력 명확, IG 직판형. 출처: kedglobal·beautynury·biodance.co.kr."
데이지크 (dasique),✓,색조,dasique_official,"블루밍 무드 색조 인디(2019.12 런칭). 일본 선진출→아마존재팬 인지도, 2025 도쿄 신오쿠보 첫 플래그십, IG 직판형으로 국내 인플루언서 여지. 대기업 계열 아닌 독립 인디. (다소 이른 런칭이나 해외확장기 인디). 출처: fetv.co.kr·thevc.kr·dasique.co.kr."
프리메이 (FREEMAY),,스킨케어,freemay_official,"비건 인증(프랑스 EVE 비건)·독일 더마테스트 통과 B2C 인디 스킨케어. 대표 '진정한 수분크림'이 2024 상반기 화해 수분크림 부문 1위, 무신사·올리브영·롯데마트 입점하며 빠르게 성장한 신생 브랜드. 인스타(@freemay_official) 직접 운영·인플루언서 마케팅 여지 큼. 출처: 무신사 브랜드페이지·한경매거진(롯데마트 전점 입점 기사)"
아이레시피 (iRecipe),,스킨케어,irecipe_official,비건 인증·EWG 그린 등급 지향 클린뷰티 스킨케어 브랜드로 시카 PDRN 토너패드/세럼/크림 라인 등 진정·수분·클렌징 완제품을 소비자에 직접 판매. 인스타(@irecipe_official)·자사몰·무신사 운영으로 인플루언서 마케팅 수요 큼. 출처: 무신사 브랜드페이지·irecipe.com·공식 인스타그램
라프텔 (RAFTEL),✓,스킨케어,raftel_cosmetic,"2023년 정식 론칭한 신생 안티에이징 스킨케어 브랜드. 하이드레이팅 토너·인텐시브 PM10 세럼·아이크림·탄력크림·비건 페이셜 클렌저 등 B2C 완제품 구성. W컨셉 등 입점 및 인스타(@raftel_cosmetic) 직접 운영. 출처: 코스인코리아(세럼 론칭 기사, 2023 정식 론칭)·W컨셉·공식 인스타그램 (동명 애니 OTT '라프텔/Laftel'과 무관)"
3페이지스 (3pages),✓,스킨케어,3pages_official,"바이오텍 기반 펩타이드 스킨케어를 표방하는 인디 브랜드. '올데이 트리트먼트 펩타이드 세럼' 등 토너·세럼·크림 완제품을 자사몰(3pages.co.kr)·인스타(@3pages_official, 약 1.1만 팔로워)로 D2C 판매. 인플루언서 마케팅 여지 큼. 출처: 3pages.co.kr·공식 인스타그램"
아페리레 (APERIRE),,스킨케어,aperire_official,'순수 블루 수분 쿨링 토너 패드'로 알려진 데일리 감성 코스메틱 인디 브랜드. 토너패드·미스트 등 B2C 스킨케어를 자사몰·무신사·29CM로 판매하고 인스타(@aperire_official) 직접 운영. 출처: 무신사·29CM 브랜드페이지·aperire.co.kr·공식 인스타그램
BRAYE (브레이),,색조,braye.official,"2024년 5월 정식 런칭한 신생 B2C 색조 브랜드(기획사 EGNIS). 대표 제품 '립슬릭(LIPSLEEK)'은 슬라이딩 용기의 립앤치크 멀티. 런칭 전부터 인스타 티저로 화제, @braye.official 약 3.4만, 출시 5개월 만에 15개국 진출 - 인플루언서/SNS 마케팅 수요 큰 전형적 신생 인디 색조. 출처: newspim 2024-11-13 '색조 브랜드 브레이, 5개월 만에 15개국 진출 성공', 인스타그램 @braye.official"
팁토우 (Tiptoe),,색조,tiptoe_makeup,"2023년 2월 런칭한 신생 인디 색조 브랜드(운영사 프루트풀). '블러리 퓨레 블러셔', '소프트 도우인 립&치크 듀오' 등 블러셔·립 중심 '포스트 걸코어' 콘셉트. @tiptoe_makeup 약 5만 - 인스타 기반 소비자 직판·인플루언서 마케팅 활발. 출처: the bell 2025-08-25 'K뷰티 스타트업 인사이드 팁토우 운영 프루트풀', 한국섬유신문 '팁토우 이상빈 대표' 인터뷰, 인스타그램 @tiptoe_makeup"
투슬래시포 (TWO SLASH FOUR),,색조,twoslashfour,"뷰티 크리에이터 이사배가 2022년 설립·2023년 제품 런칭한 색조 브랜드. '글레이즈 립 체인저', '올오버 페이스 블러쉬', '엔젤릭 쿠션' 등 립·블러셔·베이스. 아모레퍼시픽 사내벤처(린스타트업) 인큐베이팅 후 분사한 '별도 독립 법인'으로, 아모레퍼시픽은 소수지분 투자자일 뿐 모회사/계열 아님(웹검색 확인). @twoslashfour 약 4.7만 - 인플루언서 직접 운영형 인디 색조. 출처: 어패럴뉴스/와우테일 2023-02 '이사배 투슬래시포 아모레퍼시픽 등 투자 유치(린스타트업 분사·별도 법인)', 인스타그램 @twoslashfour"
RISKY (리스키),,색조,riskybeauty_official,"2024년 9월 런칭한 신생 색조 브랜드(주식회사 리스키, 대표 홍유경 - 독립 인디). '비 볼드 립글로스', '피그먼트 아이섀도우 팔레트' 등 립·아이 중심의 대담한 Y3K 컬러. @riskybeauty_official 약 5.7만 - 스레드·인스타 인플루언서 시딩 활발. 출처: 데일리시큐 2024 '뷰티&컬쳐 브랜드 리스키 공식 런칭', 올리브영 브랜드관, 인스타그램 @riskybeauty_official"
체리엑스엑스 (CHÉRIEXX),,색조,cheriexxofficial,"2025년 3월 첫 립 컬렉션 '더 불렛 매트 루즈'로 런칭한 신생 색조 브랜드(20대 초반 고 대표). 총알형 립스틱·체인/키링 액세서리 구성, 한남동 'House of CherieXX' 팝업 - SNS 콘텐츠/인플루언서 마케팅 수요 큰 인디. 롬앤 운영사 아이패밀리에스씨가 투자(엑셀러레이터)한 별도 독립 색조 브랜드로 확인(계열 아님). 출처: 머니투데이/네이트뉴스 2025-03-25 '아이패밀리에스씨, 색조·패션 브랜드 CHERIE XX 첫 공식 투자', 인스타그램 @cheriexxofficial"
페르웨어 (PERWARE),,색조,perware.official,"2024년 9월 런칭한 신생 색조 브랜드, 슬로건 '입는 뷰티의 시작'. 대표 제품 '립그립(Lip Grip)'은 자석형 폰 그립에 립앤치크(글로우/블러리/밤 멀티 피니시) 결합한 웨어러블 멀티 색조. 성수 팝업 동시 오픈, 올리브영 글로벌 입점 - 인스타 기반 인플루언서 마케팅 활발. 출처: 올리브영 상품페이지 '페르웨어 립그립 6colors', adure.net 패키지 전략 분석, 인스타그램 @perware.official"
먼데이뮤지엄 (Monday Museum),✓,스킨케어 (비건),mondaymuseum.official,"B2C 완제품 비건 스킨케어 인디 브랜드(운영사 타임리랩스). '다르게 바르다, 최소주의 뷰티' 슬로건, EVE Vegan(이브비건) 100% 비건 포뮬러 인증, FSC 친환경 패키지·콩기름 인쇄로 클린뷰티 명확. 자사몰·인스타 직판 중심, 후기·자사몰 카피라이트가 2022년부터 확인되는 신생/소규모 → 인플루언서 마케팅 여지 큼(웹검색 확인). 출처: 공식몰 mondaymuseum.kr / mmds.kr(2022 카피라이트), 마리끌레르 2022 비건화장품 기사, 인스타 @mondaymuseum.official"
물들임 (Muldream),✓,스킨케어 (비건),muldream.official,"민감성 도시 피부 타깃 100% 식물성 비건·클린뷰티 스킨케어 인디 브랜드. 영국 비건소사이어티 인증, 와디즈 펀딩으로 시작한 직판형 브랜드로 자사몰·인스타(@muldream.official, 글로벌 @muldream.global) 중심 판매 → 인플루언서 수요 큼. (런칭 약 2020년으로 '2022 이후'보다 다소 앞서나 소자본 인디·자연주의 감성에 부합, 메이저/계열 아님) 출처: 공식몰 muldream.com, 더구루/데일리시큐 기사"
12GRABS (트웰브그랩스),,스킨케어 (비건),official.12grabs,"운영사 시프트포가 2021년 런칭한 인디(K-Local) 비건 뷰티 브랜드. '국내 로컬 천연 식물 추출물'(완도 황칠 등) 자연주의 콘셉트, 산삼나무 비건 선크림이 비건 인증·올리브영 슈퍼루키 선정. 자사몰·인스타 직판 및 SNS 리뷰 활발 → 인플루언서 마케팅 적합. 출처: 12grabs.com, 스타트업데일리·아빙 기사, 인스타 @official.12grabs"
House of Dohwa (도화가인),✓,스킨케어 (비건/자연주의),houseofdohwa,"이천산 쌀(쌀 추출물·쌀겨)을 주원료로 한 한국 전통 기반 올내추럴·비건·클린뷰티 인디 브랜드. 무농약·무플라스틱 지향 자연주의 스토리텔링, 종로 북촌 매장 운영, 인스타 @houseofdohwa(약 3.1만)·해외 K뷰티 편집숍 입점으로 소비자 직접 판매 → 인플루언서·스토리 마케팅 여지 큼. 출처: houseofdohwa.com, STYLEVANA 브랜드 페이지, 인스타 @houseofdohwa"
허블룸 (Herbloom),,스킨케어 (비건),herbloom.official,"환경·생체리듬 기반 피부 고민에 집중하는 비건·클린뷰티 신생 브랜드. 독자 레시피, 콤부차 플랜트 바이옴 세럼 등 식물성 발효 자연주의 라인, 그랜드벤처스 전략적 투자 유치·약 30개국 수출의 성장형 인디. 자사몰·네이버스토어·인스타(@herbloom.official) 직판 → 인플루언서 마케팅 활발. 출처: herbloom.co.kr, 패션비즈·와우테일 기사, 인스타 @herbloom.official"
산다화 (Sandawha),,스킨케어 (유기농/비건),sandawha.official,"제주 직영 동백 농장 원료 기반 유기농·천연·비건 스킨케어 브랜드. 'COSMOS ORGANIC·비건 인증' 클린 비건 자연주의 포지셔닝, 인스타 @sandawha.official 소비자 직접 소통. (운영사 스킨큐어·더현대/신세계·올리브영 입점으로 '신생(2022+)'보다는 성장·기성 쪽 → 신생 우선 기준상 우선순위 낮음, 단 메이저 계열은 아니며 자연주의·비건 감성에 명확 부합) 출처: sandawha.co.kr, 코스인코리아 입점 기사, 인스타 @sandawha.official"
닥터리쥬올 (Dr.Rejuall),✓,더마·코스메슈티컬 스킨케어,rejuall_official,"약사 5인·의사 4인 공동 개발 처방형 더마 코스메틱. '어드밴스드 PDRN 리쥬비네이팅 크림'이 1년 내 누적 150만개, 출시 72시간 완판으로 급성장한 신생 인디. 자사몰(drrejuall.kr) 직판 + 약국·일본 진출, 인스타 @rejuall_official(약 8.9만)로 협찬 인플루언서 마케팅 활발. 대기업 계열 아님. 출처: dailypharm.com 약국 핫템 기사, theguru.co.kr '16초에 1병' 일본 진출 보도, drrejuall.kr"
닥터바이오 (Dr.Bio),✓,더마·코스메슈티컬 스킨케어,dr.bio_official,"신생아~성인 온가족 대상 클린·비건 더마 코스메틱(EWG 그린 등급, 대전 소재 ㈜닥터바이오). 진정 앰플·모공 타이트닝·비타민C·PDRN 라인 보유. 자사몰(doctorbio.kr) 직판 + 올리브영·무신사·29CM 입점, 오사카·두바이 팝업으로 글로벌 확장 중인 인디 B2C. 대기업 계열 아님. 인스타 @dr.bio_official 웹검색으로 확인(원후보 공란을 보강). 출처: 올리브영/무신사/29CM 닥터바이오 브랜드관, doctorbio.kr, 인스타 @dr.bio_official"
더마라인 (DERMALINE),,더마·코스메슈티컬 스킨케어,dermaline_korea,"병원용 처방을 소비자용으로 확장한 더마 브랜드. 연어 PDRN 솔루션 앰플, 밀크·시카 엑소좀, NAD 파워 솔루션 등 고기능 성분 라인. 자사몰(dermaline.co.kr) 직판 + 올리브영 입점, 인스타 @dermaline_korea로 소비자 직접 판매. 소규모 인디로 인플루언서 마케팅 수요 큼. 대기업 계열 아님(대표 왕홍근, 경기 하남). 출처: dermaline.co.kr, wconcept·ssgdfs 상품 페이지, danawa 가격비교"
닥터리코스 (DR.LEECOS),✓,더마·코스메슈티컬 스킨케어,drleecos_official,"피부과 전문의 이유득 원장이 30년 피부 치료 데이터를 바탕으로 개발하고 50인 피부 전문가 자문을 거친 더마 코스메틱. 자사몰(drleecos.com) 직판 + 네이버 스마트스토어·무신사 판매. 인스타 @drleecos_official 팔로워가 아직 작아 인플루언서 마케팅 성장 여지 매우 큼. 개인 피부과 기반 인디, 대기업 계열 아님. 출처: drleecos.com, 인스타 @drleecos_official, musinsa 닥터리코스 브랜드 페이지"
아로셀 (Arocell),,더마·코스메슈티컬 스킨케어,arocell_official,"'노화를 세포 이야기로 다룬다'는 콘셉트의 바이오 코스메슈티컬 인디 브랜드. 인체제대혈 줄기세포 배양액·도포형 보툴리눔(데모톡신) 함유 슈퍼파워 크림 등 차별화 라인. 자사몰(arocell.co.kr) 직판 + 올리브영 입점, 인스타 @arocell_official(약 1.6만)·@arocell_global 운영으로 SNS·인플루언서 마케팅 적극. 독립 인디, 대기업 계열 아님. 출처: arocell.co.kr, oliveyoung 아로셀 브랜드 스토어, 인스타 @arocell_official/@arocell_global"
더마센트릭 (Dermacentric),✓,더마·코스메슈티컬 스킨케어,dermacentric_official,"피부과 추천 기반 프로페셔널 스킨케어를 표방하는 더마 코스메틱. 펩타이드 앰플, 수딩 크림, 트러블 진정 젤크림, 미네랄 선크림 등 보유. '병원용 화장품' 포지션이나 자사몰(dermacentric.com)로 소비자 직판, 영문·중문 사이트 운영, 인스타 @dermacentric_official로 인플루언서 마케팅 여지. 독립 인디, 대기업 계열 아님. (2019년경부터 활동해 신생도는 다소 약함) 출처: dermacentric.com, 마리끌레르·더마 기사 언급"
러븀 (LUVUM),,스킨케어 (더마 인접),luvum_official,"'Love Your Moment' 콘셉트의 인디 스킨케어 브랜드. 시카·유자·콜라겐·머드 겔 마스크가 올리브영 콜라겐팩 상위권, 토너패드·세럼·앰플·선케어 등 진정·장벽·모공 기능성 라인. 자사몰(luvum.co.kr) 직판 + 올리브영, 인스타 @luvum_official·글로벌·일본 계정 운영으로 SNS 직판·인플루언서 마케팅 활발. 독립 인디, 대기업 계열 아님. (6주년 표기로 ~2018 창업, 신생도는 약함) 출처: luvum.co.kr, oliveyoung 콜라겐팩 기획전"
두피부 (doopeeboo),✓,스칼프케어 (두피),doopeeboo,"'두피도 피부처럼' 컨셉의 두피 전문 인디 브랜드. 두피세럼(스칼프 모이스처라이징/부스트 드라이앰플), 카페인 10,000ppm 탈모기능성 샴푸 등 두피 화장품을 D2C(doopeeboo.com)+인스타로 직판. 통신판매업 신고번호 2023-서울성동-2166로 2023년 본격 영업 시작한 신생, 인플 협찬 마케팅 활발. 출처: doopeeboo.com / 다나와·올리브영 검색"
리필드 (Refilled),,스칼프케어 (두피/탈모),refilled_official,"㈜콘스탄트의 두피 홈케어 B2C 브랜드. 특허성분 사이토카인 함유 '탈모케어 헤어토닉 부스터 프로' 등 두피/헤어 화장품을 무신사·자사몰로 판매(앱 진단은 부가 서비스). 2023년 시리즈A 투자 유치한 신생 뷰티테크, 인스타 활발. 화장품 라인이 핵심이라 ICP 부합(디바이스 아님). 출처: platum.kr / refilled.co.kr / @refilled_official"
